PlaceLabel,Name_eng,Name_zh,Field_high,period,1,2,3,4,5,6
P001(1-4),Lacy_Carleton,力'宣德,Theology,1909-1918,Ohio Wesleyan,Ohio Wesleyan,Northwestern,Garrett Biblical Institute,Garrett Biblical Institute,Columbia
P002(1-4),Luccock_Emory W.,,Theology,1909-1918,Wabash,Northwestern,McCormick Seminary,Wabash,Wooster,
P009(1-3),Helmick_Milton J.,,Law,1883-1908,Stanford,Colorado,Stanford,Denver,,
P003(1-4),Ly_J .Usang,黎照铰,Business & Commerce,1909-1918,New York University,Columbia,Pennsylvania,Haverford,,
P025(1-3),Zung_Y.F.,鄭日孚,Engineering,1919-1935,Ohio Northern,Michigan State,Iowa State,Iowa State,,
P013(1-3),Huang_Tsefang,黃子方,Medicine,1919-1935,Chicago,Rush Medical College,Chicago,Johns Hopkins,,
P011(1-3),Hu_Stephen,胡梅基,Sciences,1919-1935,California,Cornell,Cornell,Johns Hopkins,,
P004(1-4),Pott_Francis L. Hawks,卜紡濟,Theology,1883-1908,Columbia,General Theological Seminary,Trinity,University of Edinburgh,,
P021(1-3),Walline_Edwin E.,華連,Theology,1909-1918,Park University,Chicago,Emporia College,,,
P157(5-1),Moy_Howard R.,梅觀濤,Humanities,1919-1935,Chicago,Chicago,Chicago,,,
P130(1-2),Wang_Tsu-lien,王祖廉,Humanities,1909-1918,Grinnell,Chicago,Chicago,,,
P093(1-2),Lo_Pan H.,羅泮輝,Law,1883-1908,Harvard,Chicago,Chicago,,,
P027(3-2),Yee_S.K.,余兆麒,Law,1919-1935,Michigan,Michigan,Chicago,,,
P079(1-2),Kelhofer_E.,,Humanities,1883-1908,Northwestern,Northwestern,Chicago,,,
P111(1-2),Rehn_Henry J.,,Business & Commerce,1919-1935,Oregon State,Oregon State,Chicago,,,
P132(1-2),Wells_Ralph Crane,,Sciences,1883-1908,Colorado,Columbia,Colorado,,,
P007(1-3),Fong_F. Sec,鄺富灼,Humanities,1883-1908,Pomona,California,Columbia,,,
P149(15-1),Mei_Cheuk-Shang,梅卓生,Medicine,1909-1918,Columbia,Columbia,Columbia,,,
P128(1-2),Wang_K.S.,王康生,Humanities,1909-1918,Ohio State,Columbia,Columbia,,,
P014(1-3),Hylbert_L.C.,,Theology,1883-1908,Bucknell,Crozen Theological Seminary,Columbia,,,
P012(1-3),Huang_James Chiomin,黃覺民,Sciences,1919-1935,National (Manila),Philippine,Columbia,,,
P095(1-2),Lockhart_Oliver C.,,Humanities,1883-1908,Indiana,Indiana,Cornell,,,
P017(1-3),Liu_H.C.E.,劄湛恩,Law,1919-1935,Chicago,Columbia,Denison,,,
P023(1-3),Young_Arthur N.,,Humanities,1909-1918,Occidental,Princeton,George Washington,,,
P006(1-3),Chung_Elbert,張四銘,Medicine,1909-1918,Southern California,Pennsylvania,Georgetown,,,
P145(18-1),Wen_Yu-Ching,溫毓慶,Humanities,1909-1918,Harvard,Harvard,Harvard,,,
P033(2-2),Lee_Shee-Mou,李熙謀,Sciences,1909-1918,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Harvard,,,
P065(1-2),Gale_Esson M.,蓋樂,Humanities,1883-1908,Michigan,Michigan,Leyden,,,
P022(1-3),Williams_J.T.,威林士,Theology,1909-1918,Howard,Southern Boys Seminary,Louisville,,,
P076(1-2),Huizinga_Henry,,Humanities,1883-1908,Hope College,Hope College,Michigan,,,
P016(1-3),Liu_Cheng Ling,劉承霖,Sciences,1909-1918,Cornell,Columbia,New York University,,,
P018(1-3),Lum_Kalfred Dip,林罄,Humanities,1919-1935,Hawaii,Columbia,New York University,,,
P083(1-2),Kung_S.W.,孔士諄,Business & Commerce,1919-1935,North Central College,New York University,New York University,,,
P108(1-2),O'Hara_Floyd J.,何誥瀾,Medicine,1919-1935,Minnesota,Minnesota,Pennsylvania,,,
P103(1-2),McCracken_J.C.,,Medicine,1883-1908,Cooper,Pennsylvania,Pennsylvania,,,
P015(1-3),Kam_Edwin,金德明,Medicine,1919-1935,Hawaii,St. John's University,Pennsylvania,,,
P005(1-3),Chu_Fred M.C.,朱霞邨,Education,1909-1918,Y.M.C.A. College,Chicago,Pratt Institute,,,
P113(1-2),Roberts_Donald,,Humanities,1909-1918,Princeton,Harvard,Princeton,,,
P008(1-3),Hayes_Ernest M.,,Humanities,1909-1918,Wooster,Washington & Jefferson,Princeton,,,
P024(1-3),Yu_Leo W.,于立五,Engineering,1919-1935,Nevada,Nebraska,Purdue,,,
P139(1-2),Yang_Yung Ching,楊永清,Law,1919-1935,George Washington,George Washington,Southern College,,,
P046(1-2),Chan_Stanley H.,陳受康,,1919-1935,Stanford,California,Stanford,,,
P035(2-2),Wu_Jack Foy,伍直誨,Medicine,1919-1935,Stanford,Columbia,Stanford,,,
P094(1-2),Lo_R.Y.,羅運炎,Humanities,1909-1918,Baldwin Wallace,Syracuse,Syracuse,,,
P010(1-3),Ho_Paul Hsu,霍寶樹,Sciences,1919-1935,Illinois,Pennsylvania,Temple,,,
P020(1-3),Villers_Ernest,,Humanities,1909-1918,Denison,Oklahoma,Texas,,,
P087(1-2),Leung_Siuchoh C.,梁小初,Humanities,1919-1935,Y.M.C.A. Graduate School,Y.M.C.A. Graduate School,Vanderbilt,,,
P206(1-1),Pilcher_James B.,潘理起,Sciences,1919-1935,Alabama Polytechnic Institute,Alabama Polytechnic Institute,,,,
P147(16-1),Kwok_Peter Y.,郭佩弦,Humanities,1919-1935,California,California,,,,
P147(16-1),Dunn_T.B.,,Medicine,1909-1918,California,California,,,,
P032(2-2),Jen_Lemuel C.C.,甄友廉,Humanities,1919-1935,George Washington,California,,,,
P057(1-2),Downs_W.H.,,Medicine,1919-1935,Georgetown,California,,,,
