Name_eng;Name_zh;Name_py;Nationality;University;State;Degree_source;Degree_level;Field_main;Field_2;Year_start;Year_end;Honorary;nDeg;start;end;duration;period;Degree_high;Field_high;Life_member;Deceased;Employer_main;Employer_2;Sector_1;Sector_2;Country;City;Street_name;Street_2;Street_nbr;Building;Page;PDF
Ting_H.N.;丁雪農;Ding Xuenong;Chinese;Pennsylvania;Pennsylvania;A.B.;Bachelor;Humanities;Arts;1915;1918;;1;1915;1918;3;1909-1918;Bachelor;Humanities;1936;;Tai Ping Insurance Company;;Company;Insurance;China;Shanghai;Kiangse;;212;;207;236
Inui_Kiyosue;乾椅末;Qian Yimo;Japanese;Michigan;Michigan;A.B.;Bachelor;Humanities;Arts;1906;1906;;2;1897;1906;9;1883-1908;Doctorate;Law;;;Japanese Legation;;Foreign Government;Legation;China;Shanghai;Whangpoo;;106;;194;223
Inui_Kiyosue;乾椅末;Qian Yimo;Japanese;Tokyo Imperial;Tokyo;LL.D.;Doctorate;Law;Law;1897;1901;;2;1897;1906;9;1883-1908;Doctorate;Law;;;Japanese Legation;;Foreign Government;Legation;China;Shanghai;Whangpoo;;106;;194;223
Yu_Leo W.;于立五;Wu Liwu;Chinese;Nebraska;Nebraska;B.S.E.E.;Bachelor;Engineering;Electrical Engineering;1925;1925;;3;1922;1926;4;1919-1935;Bachelor;Engineering;;;China Electric Company;;Company;Electrical;China;Shanghai;Lay;;269;;214;243
Yu_Leo W.;于立五;Wu Liwu;Chinese;Nevada;Nevada;;;;;1922;1923;;3;1922;1926;4;1919-1935;Bachelor;Engineering;;;China Electric Company;;Company;Electrical;China;Shanghai;Lay;;269;;214;243
Yu_Leo W.;于立五;Wu Liwu;Chinese;Purdue;Indiana;;;;;1925;1926;;3;1922;1926;4;1919-1935;Bachelor;Engineering;;;China Electric Company;;Company;Electrical;China;Shanghai;Lay;;269;;214;243
Iseri_K.T.;井芹;Jing Qin;Japanese;Stanford;California;A.B.;Bachelor;Humanities;Arts;1921;1921;;2;1921;1922;1;1919-1935;Certificate;Engineering;;;Sumitomo Goshi Kaisha;;Company;Metal & Mining;China;Shanghai;Kiukiang;;69;;194;223
Iseri_K.T.;井芹;Jing Qin;Japanese;Stanford;California;Engineer;Certificate;Engineering;Engineering;1922;1922;;2;1921;1922;1;1919-1935;Certificate;Engineering;;;Sumitomo Goshi Kaisha;;Company;Metal & Mining;China;Shanghai;Kiukiang;;69;;194;223
Woo_Herbert;伍子昂;Wu Ziang;Chinese;Columbia;New York;B.Arch.;Bachelor;Architecture;Architecture;1933;1933;;2;1933;1933;0;1919-1935;Bachelor;Architecture;1935;;Fan, Robert, Architect;;Company;Building & Real estate;China;Shanghai;Szechuen;;110;;211;240
Wu_Pond S.;伍灼泮;Wu Zhuopan;Chinese;Purdue;Indiana;B.S.C.E.;Bachelor;Engineering;Civil Engineering;1914;1914;;3;1914;1915;1;1909-1918;Master;Engineering;;;Salt Revenue Administration;;Central Government;Administration;China;Shanghai;Bund;;18;;212;241
Wu_Pond S.;伍灼泮;Wu Zhuopan;Chinese;Wisconsin;Wisconsin;M.Sc.;Master;Sciences;Sciences;1915;1915;;3;1914;1915;1;1909-1918;Master;Engineering;;;Salt Revenue Administration;;Central Government;Administration;China;Shanghai;Bund;;18;;212;241
Wu_Pond S.;伍灼泮;Wu Zhuopan;Chinese;Wisconsin;Wisconsin;M.Sc.;Master;Sciences;Sciences;1915;1915;;3;1914;1915;1;1909-1918;Master;Engineering;;;Salt Revenue Administration;;Central Government;Administration;China;Shanghai;Bund;;18;;212;241
Wu_Jack Foy;伍直誨;Wu Zhihui;Chinese;Columbia;New York;A.B.;Bachelor;Humanities;Arts;1925;1925;;3;1921;1929;8;1919-1935;Doctorate;Medicine;1935;;;;;;China;Shanghai;Bubbling Well;;934;Medhurst Apartment;212;241
Wu_Jack Foy;伍直誨;Wu Zhihui;Chinese;Stanford;California;M.D.;Doctorate;Medicine;Medicine;1929;1929;;3;1921;1929;8;1919-1935;Doctorate;Medicine;1935;;;;;;China;Shanghai;Bubbling Well;;934;Medhurst Apartment;212;241
Wu_Jack Foy;伍直誨;Wu Zhihui;Chinese;Stanford;California;;;;;1921;1922;;3;1921;1929;8;1919-1935;Doctorate;Medicine;1935;;;;;;China;Shanghai;Bubbling Well;;934;Medhurst Apartment;212;241
Howe_Sam;何士林;He Shilin;Western;Pratt Institute;New York;;;;;1928;1930;;1;1928;1930;2;1919-1935;;;;;Bunge & Company;;Company;Company;China;Shanghai;;;219;Sassoon House;192;221
Ho_Teh-Kuei;何德奎;He Dekui;Chinese;Wisconsin;Wisconsin;B.A.;Bachelor;Humanities;Arts;1919;1919;;2;1919;1921;2;1919-1935;Master;Business & Commerce;;;Shanghai Municipal Council;;Local Government;Foreign;China;Shanghai;Kiangse;;209;;192;221
Ho_Teh-Kuei;何德奎;He Dekui;Chinese;Harvard;Massachusetts;M.B.A.;Master;Business & Commerce;Business Administration;1921;1921;;2;1919;1921;2;1919-1935;Master;Business & Commerce;;;Shanghai Municipal Council;;Local Government;Foreign;China;Shanghai;Kiangse;;209;;192;221
Ho_Ping-sung;何焫松;He Ruosong;Chinese;Wisconsin;Wisconsin;B.A.;Bachelor;Humanities;Arts;1915;1915;;2;1915;1919;4;1909-1918;Master;Humanities;1936;;National Chinan University;;Education;University;China;Shanghai;;;;Chenju;192;221
Ho_Ping-sung;何焫松;He Ruosong;Chinese;Princeton;New Jersey;M.A.;Master;;;1919;1919;;2;1915;1919;4;1909-1918;Master;Humanities;1936;;National Chinan University;;Education;University;China;Shanghai;;;;Chenju;192;221
O'Hara_Floyd J.;何誥瀾;He Gaolan;Western;Minnesota;Minnesota;B.S.;Bachelor;Sciences;Sciences;1923;1923;;4;1923;1933;10;1919-1935;Doctorate;Medicine;;;St. Luke's Hospital;;Health institution;Hospital;China;Shanghai;Seward;;177;;203;232
O'Hara_Floyd J.;何誥瀾;He Gaolan;Western;Minnesota;Minnesota;M.D.;Doctorate;Medicine;Medicine;1927;1927;;4;1923;1933;10;1919-1935;Doctorate;Medicine;;;St. Luke's Hospital;;Health institution;Hospital;China;Shanghai;Seward;;177;;203;232
O'Hara_Floyd J.;何誥瀾;He Gaolan;Western;Pennsylvania;Pennsylvania;M.Sc.;Master;Sciences;Sciences;1933;1933;;4;1923;1933;10;1919-1935;Doctorate;Medicine;;;St. Luke's Hospital;;Health institution;Hospital;China;Shanghai;Seward;;177;;203;232
O'Hara_Floyd J.;何誥瀾;He Gaolan;Western;Pennsylvania;Pennsylvania;M.Sc.;Master;Sciences;Sciences;1933;1933;;4;1923;1933;10;1919-1935;Doctorate;Medicine;;;St. Luke's Hospital;;Health institution;Hospital;China;Shanghai;Seward;;177;;203;232
Ho_Philip L.;何麟;He Lin;Chinese;Harvard;Massachusetts;M.B.A.;Master;Business & Commerce;Business Administration;1932;1932;;1;1932;1932;0;1919-1935;Master;Business & Commerce;1936;;Swan, Culbertson & Fritz;;Company;Trade & Business;China;Shanghai;;;118;Sassoon House;192;221
Yee_S.K.;余兆麒;Yu Zhaoqi;Chinese;Michigan;Michigan;B.A.;Bachelor;Humanities;Arts;1927;1927;;3;1927;1928;1;1919-1935;Doctorate;Law;;;International Assurance Company;;Company;Insurance;China;Shanghai;Bund;;17;;213;242
Yee_S.K.;余兆麒;Yu Zhaoqi;Chinese;Chicago;Illinois;J.D.;Doctorate;Law;Law;1928;1928;;3;1927;1928;1;1919-1935;Doctorate;Law;;;International Assurance Company;;Company;Insurance;China;Shanghai;Bund;;17;;213;242
Yee_S.K.;余兆麒;Yu Zhaoqi;Chinese;Michigan;Michigan;LL.B.;Bachelor;Law;Law;1927;1927;;3;1927;1928;1;1919-1935;Doctorate;Law;;;International Assurance Company;;Company;Insurance;China;Shanghai;Bund;;17;;213;242
Yui_Ming;余銘;Yu Ming;Chinese;Cornell;New York;A.B.;Bachelor;Humanities;Arts;1929;1929;;2;1929;1929;0;1919-1935;Bachelor;Law;;;Ministry of Foreign Affairs;;Central Government;Ministry;China;Nanking;;;;;214;243
Yui_Ming;余銘;Yu Ming;Chinese;Cornell;New York;LL.B.;Bachelor;Law;Law;1929;1929;;2;1929;1929;0;1919-1935;Bachelor;Law;;;Ministry of Foreign Affairs;;Central Government;Ministry;China;Nanking;;;;;214;243
Yu_Zu Shung;俞汝鑫;Yu Ruxin;Chinese;Harvard;Massachusetts;M.S.E.E.;Master;Engineering;Electrical Engineering;1926;1926;;1;1926;1926;0;1919-1935;Master;Engineering;;;Shanghai Telegraph Office;;Company;Communication;China;Shanghai;Szechuen;;200;;214;243
Yui_K.L.;俞開齡;Yu Kailing;Chinese;New York University;New York;B.A.;Bachelor;Humanities;Arts;1923;1923;;1;1923;1923;0;1919-1935;Bachelor;Humanities;1933;;Swan, Culbertson & Fritz;;Company;Trade & Business;China;Shanghai;;;118;Sassoon House;214;243
Foo_Y.C.;傅耀誠;Fu Yaocheng;Chinese;Washington;Washington;B.B.A.;Bachelor;Business & Commerce;Business Administration;1921;1921;;2;1921;1923;2;1919-1935;Master;Business & Commerce;;;China United Lamp Company;;Company;Electrical;China;Shanghai;Szechuen;;110;;190;219
