	"Subfield"	"FullName"	"Chinese"	"Pinyin"	"University"	"Organisation"
"1"	"Municipal Works"	"H. S. Sung"	"宋希尙"	"Song Xishang"	"Brown"	"Nanking Municipal Government"
"2"	"Municipal Works"	"H. S. Sung"	"宋希尙"	"Song Xishang"	"Brown"	"Yangtse River Commission"
"3"	"River Conservancy"	"K. Shu"	"須愷"	"Xu Kai"	"California"	"Huai River Commission"
"4"	"Municipal Works"	"T. K. Cheng"	"程天固"	"Cheng Tiangu"	"California"	"Canton Municipal Government"
"5"	"Railway Engineering"	"Thomson E. S. Mao"	"茅以昇"	"Mao Yisheng"	"Carnegie Institute of Technology"	"Chien-Tang Bridge"
"6"	"Mechanical Engineering"	"K. C. Chang"	"張可治"	"Zhang Kezhi"	"Carnegie Institute of Technology"	"Ministry of Industries"
"7"	"Mechanical Engineering"	"K. C. Chang"	"張可治"	"Zhang Kezhi"	"Carnegie Institute of Technology"	"National Central University"
"8"	"Electrical Communication"	"K. L. Yuen"	"顏任光"	"Yan Renguang"	"Chicago"	"Ministry of Communications"
"9"	"Electrical Manufacture"	"Robert Ting"	"丁佐成"	"Ding Zuocheng"	"Chicago"	"China Scientific Instrument Company"
"10"	"Electrical Manufacture"	"John Y. Lee"	"李耀邦"	"Li Yaobang"	"Chicago"	"China Scientific Instrument Company"
"11"	"Mining Engineering"	"Chang Kin-Fan"	"張景芬"	"Zhang Jingfen"	"Colorado School of Mines"	"Fu-Kuo Coal Mining Company"
"12"	"Railway Engineering"	"H. H. Ling"	"凌鴻勛"	"Ling Hongxun"	"Columbia"	"Chiao-Tung University"
"13"	"Railway Engineering"	"H. H. Ling"	"凌鴻勛"	"Ling Hongxun"	"Columbia"	"American Bridge Company"
"14"	"Railway Engineering"	"H. H. Ling"	"凌鴻勛"	"Ling Hongxun"	"Columbia"	"Canton-Hankow Railway"
"15"	"Railway Engineering"	"H. H. Ling"	"凌鴻勛"	"Ling Hongxun"	"Columbia"	"Lunghai Railway"
"16"	"Chemical Engineering"	"Te-Pung Hou"	"侯德榜"	"Hou Debang"	"Columbia"	"Yungli Soda Plant (Tangku, Tientsin)"
"17"	"Chemical Engineering"	"Te-Pung Hou"	"侯德榜"	"Hou Debang"	"Columbia"	"Yungli Chemical Industries Ltd"
"18"	"Chemical Engineering"	"Zai-Ziong Zee"	"徐善祥"	"Xu Shanxiang"	"Columbia"	"Ministry of Industries"
"19"	"Mining Engineering"	"C. F. Wang"	"王正频"	"Wang Zhengbin"	"Columbia"	"Commission on Aeronautical Affairs"
"20"	"Mining Engineering"	"C. F. Wang"	"王正频"	"Wang Zhengbin"	"Columbia"	"Ministry of Industries"
"21"	"Mining Engineering"	"C. F. Wang"	"王正频"	"Wang Zhengbin"	"Columbia"	"Lu-ho-Kou Coal Mining Company"
"22"	"Mining Engineering"	"C. F. Wang"	"王正频"	"Wang Zhengbin"	"Columbia"	"Sino-Japanese Coal and Mining Company"
"23"	"Mining Engineering"	"Chen I. Fang"	"程義法"	"Cheng Yifa"	"Columbia"	"Ministry of Industries"
"24"	"Mining Engineering"	"Chen I. Fang"	"程義法"	"Cheng Yifa"	"Columbia"	"Han-Yeh-Ping Company"
"25"	"Mining Engineering"	"K. C. Chow"	"周開基"	"Zhou Kaiji"	"Columbia"	"Tayeh Iron Works"
"26"	"Mining Engineering"	"Chin Yui"	"秦瑜"	"Qin Yu"	"Columbia"	"National Construction Commission"
"27"	"Mining Engineering"	"Chen Ta-Seu"	"陳大受"	"Chen Dashou"	"Columbia"	"National Construction Commission"
"28"	"Engineering Research"	"Li-Chi Pan"	"潘履潔"	"Pan Lüjie"	"Columbia"	"Academia Sinica"
"29"	"Engineering Research"	"Li-Chi Pan"	"潘履潔"	"Pan Lüjie"	"Columbia"	"Chung-Hua Chemical Research Laboratory"
"30"	"Railway Engineering"	"Chia-Tsun Yeh"	"葉家俊"	"Ye Jiajun"	"Cornell"	"New Railways Construction Commission"
"31"	"Railway Engineering"	"Chia-Tsun Yeh"	"葉家俊"	"Ye Jiajun"	"Cornell"	"Canton-Kowlung Railway"
"32"	"Railway Engineering"	"Chia-Tsun Yeh"	"葉家俊"	"Ye Jiajun"	"Cornell"	"Ping-Han Railway"
"33"	"Railway Engineering"	"T. Y. Chen"	"陳祖貽"	"Chen Zuyi"	"Cornell"	"Chengtu-Chungking Railway"
"34"	"Railway Engineering"	"T. Y. Chen"	"陳祖貽"	"Chen Zuyi"	"Cornell"	"Tientsin-Pukow Railway"
"35"	"Railway Engineering"	"C. Y. Tu"	"杜鎭遠"	"Du Zhenyuan"	"Cornell"	"Chekiang Kiangsi Railway"
"36"	"Railway Engineering"	"C. Y. Tu"	"杜鎭遠"	"Du Zhenyuan"	"Cornell"	"Hangchow-Kiangsan Railway"
