"MainField"	"Subfield"	"Affiliation_type"	"RecId"	"NameID"	"Title/Qualifier"	"FullName"	"Chinese"	"Pinyin"	"University"	"Degree"	"Year"	"Page"	"PDF"
"Engineering"	"Electrical Manufacture"	"Education"	"R00127"	"N00118"		"Robert Ting"	"丁佐成"	"Ding Zuocheng"	"Chicago"	"B.S."		104	127
"Engineering"	"Engineering Research"	"Education"	"R00146"	"N00136"		"S. H. Ting"	"丁嗣賢"	"Ding Sixian"	"M.I.T."	"M.S."		105	128
"Engineering"	"Engineering Research"	"Education"	"R00143"	"N00133"	"Dr."	"C. K. Jen"	"任之恭"	"Ren Zhigong"	"Harvard"	"Ph.D."		105	128
"Engineering"	"Railway Engineering"	"Education"	"R00012"	"N00011"		"C. Y. Hou"	"侯家源"	"Hou Jiayuan"	"Cornell"	"M.C.E."		93	116
"Engineering"	"Chemical Engineering"	"Education"	"R00028"	"N00026"		"Te-Pung Hou"	"侯德榜"	"Hou Debang"	"Columbia"	"M.A."		95	118
"Engineering"	"Chemical Engineering"	"Education"	"R00029"	"N00026"		"Te-Pung Hou"	"侯德榜"	"Hou Debang"	"Columbia"	"Ph.D."		95	118
"Engineering"	"Chemical Engineering"	"Education"	"R00027"	"N00026"		"Te-Pung Hou"	"侯德榜"	"Hou Debang"	"M.I.T."	"B.S."		95	118
"Engineering"	"Chemical Engineering"	"Education"	"R00030"	"N00027"		"David Yu"	"俞大維"	"Yu Dawei"	"Harvard"	"Ph.D."		95	118
"Engineering"	"Railway Engineering"	"Education"	"R00004"	"N00004"		"H. H. Ling"	"凌鴻勛"	"Ling Hongxun"	"Columbia"	"Postgraduate"		92	115
"Engineering"	"Electrical Manufacture"	"Education"	"R00121"	"N00113"		"S. K. Lau"	"劉錫祺"	"Liu Xiqi"	"M.I.T."	"B.S."		103	126
"Engineering"	"Mechanical Engineering"	"Education"	"R00064"	"N00058"		"Ginntung S. Seetoo"	"司徒錫"	"Situ Xi"	"M.I.T."	"B.S."		97	120
"Engineering"	"Electrical Power Engineering"	"Education"	"R00102"	"N00095"		"H. P. Wu"	"吳新炳"	"Wu Xinbing"	"Pittsburgh"			101	124
"Engineering"	"Chemical Engineering"	"Education"	"R00031"	"N00028"		"C. L. Wu"	"吳欽烈"	"Wu Qinlie"	"M.I.T."	"B.S."		95	118
"Engineering"	"Electrical Power Engineering"	"Education"	"R00101"	"N00094"		"Y. L. Wu"	"吳玉麟"	"Wu Yulin"	"M.I.T."	"B.S."		101	124
"Engineering"	"Engineering Research"	"Education"	"R00135"	"N00125"		"J. Chow"	"周仁"	"Zhou Ren"	"Cornell"	"M.S."		105	128
"Engineering"	"Textile Engineering"	"Education"	"R00094"	"N00087"		"Y. T. Chow"	"周延鼎"	"Zhou Yanding"	"M.I.T."	"B.S."		100	123
"Engineering"	"Electrical Manufacture"	"Education"	"R00123"	"N00115"		"G. Chow"	"周琦"	"Zhou Qi"	"Pittsburgh"			103	126
"Engineering"	"Municipal Works"	"Education"	"R00086"	"N00079"		"Z. Y. Chow"	"周象賢"	"Zhou Xiangxian"	"M.I.T."	"M.S."		99	122
"Engineering"	"Electrical Manufacture"	"Education"	"R00130"	"N00121"	"Prof."	"M. Chow"	"周銘"	"Zhou Ming"	"M.I.T."	"Ph.D."		104	127
"Engineering"	"River Conservancy"	"Education"	"R00025"	"N00024"		"C. L. Chow"	"周鎭倫"	"Zhou Zhenlun"	"Cornell"	"M.C.E."		94	117
"Engineering"	"Mining Engineering"	"Education"	"R00043"	"N00039"		"K. C. Chow"	"周開基"	"Zhou Kaiji"	"Columbia"	"M.A."		96	119
"Engineering"	"Naval Construction"	"Education"	"R00092"	"N00085"		"P. Y. Tang"	"唐炳源"	"Tang Bingyuan"	"M.I.T."	"B.S."		100	123
"Engineering"	"Engineering Research"	"Education"	"R00152"	"N00142"	"Dr."	"H. W. Sun"	"孫學悟"	"Sun Xuewu"	"Harvard"	"Ph.D."		106	129
"Engineering"	"Railway Engineering"	"Education"	"R00010"	"N00009"		"P. T. Sun"	"孫寶墀"	"Sun Baochi"	"Harvard"	"M.S."		93	116
