FullName;Chinese;Pinyin
K. P. Pao;鮑國寶;Bao Guobao
Y. K. Chow;秉玉坤;Bing Yukun
Fang-Yin Tsai;蔡方蔭;Cai Fangyin
Y. Tsai;蔡雄;Cai Xiong
Tseng Yang-Fu;曾養甫;Ceng Yangfu
Chen Ta-Seu;陳大受;Chen Dashou
M. K. Chen;陳茂康;Chen Maokang
B. Chih Chen;陳植;Chen Zhi
T. Y. Chen;陳祖貽;Chen Zuyi
T. K. Cheng;程天固;Cheng Tiangu
H. K. Cheng;程孝剛;Cheng Xiaogang
Chen I. Fang;程義法;Cheng Yifa
C. Yun;憚震;Da Zhen
Z. C. Page;戴濟;Dai Ji
E. K. Denn;鄧益光;Deng Yiguang
S. H. Ting;丁嗣賢;Ding Sixian
Robert Ting;丁佐成;Ding Zuocheng
T. M. Tu;杜長明;Du Changming
C. Y. Tu;杜鎭遠;Du Zhenyuan
Yu-Tsuan Ku;顧毓瑔;Gu Yuquan
Y. H. Ku;顧毓琇;Gu Yuxiu
S. S. Kwan;關頌聲;Guan Songsheng
S. Y. Fung;洪紹譽;Hong Shaoyu
Te-Pung Hou;侯德榜;Hou Debang
C. Y. Hou;侯家源;Hou Jiayuan
J. T. Hu;胡汝鼎;Hu Ruding
Z. H. Hu;胡瑞祥;Hu Ruixiang
P. Y. Hu;胡僮淵;Hu Tongyuan
S. P. Huang;黄叔培;Huang Shupei
C. F. Lai;賴其芳;Lai Qifang
Lee Fang-Yi;李範一;Li Fanyi
Shu-t'ien Li;李世田;Li Shitian
S. M. Lee;李熙謀;Li Ximou
John Y. Lee;李耀邦;Li Yaobang
Y. Lee;李育;Li Yu
Y. W. Lee;李郁榮;Li Yurong
K. T. Lee;李祖範;Li Zufan
H. H. Ling;凌鴻勛;Ling Hongxun
S. K. Lau;劉錫祺;Liu Xiqi
S. Y. Lung;龍純如;Long Chunru
W. P. Lo;盧維溥;Lu Weipu
Tsu Y. Lu;盧祖詒;Lu Zudai
Y. Lo;羅英;Luo Ying
Palliam T. Mar;馬德驥;Ma Deji
Thomson E. S. Mao;茅以昇;Mao Yisheng
Li-Chi Pan;潘履潔;Pan Lüjie
M. H. Pai;潘銘新;Pan Mingxin
Henry Panhoe;彭回;Peng Hui
C. T. Chien;錢昌祚;Qian Changzuo
Z. P. Zien;錢祥標;Qian Xiangbiao
Chin Yui;秦瑜;Qin Yu
H. C. Chiu;裘錫鈞;Qiu Xijun
C. K. Jen;任之恭;Ren Zhigong
A. P. T. San;薩本楝;Sa Benlian
F. K. Sah;薩福均;Sa Fujun
Bazin Shen;沈百先;Shen Baixian
T. H. Shen;沈慈暉;Shen Cihui
Pinlu Shen;沈魯周;Shen Luzhou
Shen Yi;沈怡;Shen Yi
C. N. Shen;沈鎭南;Shen Zhennan
Ginntung S. Seetoo;司徒錫;Situ Xi
H. S. Sung;宋希尙;Song Xishang
P. T. Sun;孫寶墀;Sun Baochi
C. K. Sun;孫昌克;Sun Changke
F. S. Shen;孫輔世;Sun Fushi
H. W. Sun;孫學悟;Sun Xuewu
P. Y. Tang;唐炳源;Tang Bingyuan
C. F. Wang;王承献;Wang Chengxian
C. C. Wang;王崇植;Wang Chongzhi
Woodson Wang;汪胡植;Wang Huzhi
Y. C. Wang;王榮吉;Wang Rongji
S. C. Wang;王士倬;Wang Shizhuo
C. F. Wang;王正频;Wang Zhengbin
Tsoo Wong;王助;Wang Zhu
E. F. Wei;韋以黻;Wei Yifu
Y. C. Wen;温毓慶;Wen Yuqing
C. L. Wu;吳欽烈;Wu Qinlie
H. P. Wu;吳新炳;Wu Xinbing
Y. L. Wu;吳玉麟;Wu Yulin
T. C. Hsi;席德炯;Xi Dejiong
T. K. Tse;謝作楷;Xie Zuokai
Hsin Chee-Sing;邢契辛;Xing Qixin
K. Shu;須愷;Xu Kai
K. Hsu;許坤;Xu Kun
M. T. Hsu;徐名材;Xu Mingcai
Paul H. Hsu;徐佩璜;Xu Peihuang
Zai-Ziong Zee;徐善祥;Xu Shanxiang
S. T. Hsu;徐世大;Xu Shida
T. S. Sih;薛次莘;Xue Cishen
T. P. Hsueh;薛卓斌;Xue Zhuobin
Hsueh Tsu-kang;薛祖康;Xue Zukang
T. C. Yen;顏德慶;Yan Deqing
K. L. Yuen;顏任光;Yan Renguang
C. S. Yang;楊景時;Yang Jingshi
C. Yang;楊銓;Yang Quan
T. P. Yang;楊廷寶;Yang Tingbao
S. L. Yang;楊肇燫;Yang Zhaolian
Chia-Tsun Yeh;葉家俊;Ye Jiajun
Yun-Chiao Yeh;葉雲樵;Ye Yunqiao
Chi-Foo Yeh;葉在馥;Ye Zaifu
David Yu;俞大維;Yu Dawei
Jeme Tien Yow;詹天佑;Zhan Tianyou
H. Y. Chang;張含英;Zhang Hanying
Waken Chang;張惠康;Zhang Huikang
C. C. Chang;張家祉;Zhang Jiazhi
Chang Kin-Fan;張景芬;Zhang Jingfen
