"MainField"	"Subfield"	"Affiliation_type"	"RecId"	"NameID"	"FullName"	"Chinese"	"Pinyin"	"Organisation"	"Type"	"Sublevel"	"Position"	"Rank"	"Status"	"Year_start"	"Year_end"	"Page"	"PDF"	"other_source"	
"Engineering"	"Electrical Manufacture"	"Position"	"R00187"	"N00118"	"Robert Ting"	"丁佐成"	"Ding Zuocheng"	"China Scientific Instrument Company"	"Private company"				"Current"			104	127		
"Engineering"	"Engineering Research"	"Position"	"R00210"	"N00136"	"S. H. Ting"	"丁嗣賢"	"Ding Sixian"	"Chiao-Tung University"	"Education/research"		"Professor"		"Current"			105	128		
"Engineering"	"Engineering Research"	"Position"	"R00207"	"N00133"	"C. K. Jen"	"任之恭"	"Ren Zhigong"	"Tsing-Hua University"	"Education/research"		"Professor"		"Current"			105	128		
"Engineering"	"Railway Engineering"	"Position"	"R00033"	"N00011"	"C. Y. Hou"	"侯家源"	"Hou Jiayuan"	"Hangchow-Kiangsan Railway"	"Railway/Infrastructure"		"Assistant director"	2	"Past"			93	116		
"Engineering"	"Railway Engineering"	"Position"	"R00034"	"N00011"	"C. Y. Hou"	"侯家源"	"Hou Jiayuan"	"Hangchow-Kiangsan Railway"	"Railway/Infrastructure"		"Assistant chief engineer"	2	"Past"			93	116		
"Engineering"	"Railway Engineering"	"Position"	"R00035"	"N00011"	"C. Y. Hou"	"侯家源"	"Hou Jiayuan"	"Hunan-Kweichow Railway"	"Railway/Infrastructure"		"Director"	1	"Current"			93	116		
"Engineering"	"Railway Engineering"	"Position"	"R00036"	"N00011"	"C. Y. Hou"	"侯家源"	"Hou Jiayuan"	"Hunan-Kweichow Railway"	"Railway/Infrastructure"		"Chief engineer"	1	"Current"			93	116		
"Engineering"	"Chemical Engineering"	"Position"	"R00054"	"N00026"	"Te-Pung Hou"	"侯德榜"	"Hou Debang"	"Yungli Soda Plant (Tangku"	" Tientsin)"	"Factory/mine/station"		"Chief engineer"	1	"Current"			94	117	
"Engineering"	"Chemical Engineering"	"Position"	"R00055"	"N00026"	"Te-Pung Hou"	"侯德榜"	"Hou Debang"	"Yungli Chemical Industries Ltd"	"Private company"	"Synthetic Ammonia and Acid Plant"	"Manager"	1	"Current"			94	117		
"Engineering"	"Chemical Engineering"	"Position"	"R00056"	"N00026"	"Te-Pung Hou"	"侯德榜"	"Hou Debang"	"Yungli Chemical Industries Ltd"	"Private company"	"Synthetic Ammonia and Acid Plant"	"Chief engineer"	1	"Current"			94	117		
"Engineering"	"Chemical Engineering"	"Position"	"R00057"	"N00027"	"David Yu"	"俞大維"	"Yu Dawei"	"Ordnance Department"	"Central government/administration"		"Director-general"	1	"Current"			95	118		
"Engineering"	"Railway Engineering"	"Position"	"R00016"	"N00004"	"H. H. Ling"	"凌鴻勛"	"Ling Hongxun"	"Chiao-Tung University"	"Education/research"		"President"		"Past"	1924	1927	92	115		
"Engineering"	"Railway Engineering"	"Position"	"R00011"	"N00004"	"H. H. Ling"	"凌鴻勛"	"Ling Hongxun"	"American Bridge Company"	"Private company"		"Student engineer"		"Past"			92	115		
"Engineering"	"Railway Engineering"	"Position"	"R00014"	"N00004"	"H. H. Ling"	"凌鴻勛"	"Ling Hongxun"	"Canton-Hankow Railway"	"Railway/Infrastructure"	"Chuchow-Shaochow section"	"Director"		"Past"			92	115		
"Engineering"	"Railway Engineering"	"Position"	"R00015"	"N00004"	"H. H. Ling"	"凌鴻勛"	"Ling Hongxun"	"Canton-Hankow Railway"	"Railway/Infrastructure"	"Chuchow-Shaochow section"	"Engineer-in-chief"		"Past"			92	115		
"Engineering"	"Railway Engineering"	"Position"	"R00012"	"N00004"	"H. H. Ling"	"凌鴻勛"	"Ling Hongxun"	"Lunghai Railway"	"Railway/Infrastructure"	"Sianfu section"	"Director"		"Past"			92	115		
