"NameID"	"Name"	"Chinese"	"Pinyin"	"Degree"	"Level"	"University"	"Country"
"N00002"	"CHANG F-YUN"	"張福運"	"Zhang Fuyun"	"B.A."	"Bachelor"	"Harvard"	"USA"
"N00004"	"CH'EN JU HSUAN"	"陳茹玄"	"Chen Ruxuan"	"B.A."	"Bachelor"	"Illinois"	"USA"
"N00007"	"HSIANG CHEN-CHUN"	"向哲濬"	"Xiang Zhejun"	"B.A."	"Bachelor"	"Yale"	"USA"
"N00009"	"HU YI-KU"	"胡諳穀"	"Hu Angu"	"B.A."	"Bachelor"	"Illinois"	"USA"
"N00013"	"WANG CH'UNG-HUI"	"王寵惠"	"Wang Chonghui"	"D.C L."	"Doctor"	"Yale"	"USA"
"N00005"	"CH'EN TING-JUI"	"陳霆銳"	"Chen Tingrui"	"J.D."	"Doctor"	"Michigan"	"USA"
"N00014"	"WU CHING-HSIUNG"	"吳經熊"	"Wu Jingxiong"	"J.D."	"Doctor"	"Michigan"	"USA"
"N00003"	"CHANG YU-CH'UAN"	"張煜全"	"Zhang Yuquan"	"Jinshi"	"Jinshi"	"Imperial Examinations"	"China"
"N00008"	"HSU WEI-CHEN"	"徐維震"	"Xu Weizhen"	"Jinshi"	"Jinshi"	"Imperial Examinations"	"China"
"N00001"	"CHANG CH'IEN"	"張謙"	"Zhang Qian"	"LL.B."	"Bachelor"	"Pennsylvania"	"USA"
"N00002"	"CHANG F-YUN"	"張福運"	"Zhang Fuyun"	"LL.B."	"Bachelor"	"Harvard"	"USA"
"N00003"	"CHANG YU-CH'UAN"	"張煜全"	"Zhang Yuquan"	"LL.B."	"Bachelor"	"Yale"	"USA"
"N00004"	"CH'EN JU HSUAN"	"陳茹玄"	"Chen Ruxuan"	"LL.B."	"Bachelor"	"Columbia"	"USA"
"N00005"	"CH'EN TING-JUI"	"陳霆銳"	"Chen Tingrui"	"LL.B."	"Bachelor"	"Soochow"	"USA"
"N00007"	"HSIANG CHEN-CHUN"	"向哲濬"	"Xiang Zhejun"	"LL.B."	"Bachelor"	"George Washington"	"USA"
"N00008"	"HSU WEI-CHEN"	"徐維震"	"Xu Weizhen"	"LL.B."	"Bachelor"	"Indiana"	"USA"
"N00009"	"HU YI-KU"	"胡諳穀"	"Hu Angu"	"LL.B."	"Bachelor"	"Illinois"	"USA"
"N00011"	"LI CHING-LUN"	"李錦綸"	"Li Jinguan"	"LL.B."	"Bachelor"	"Chicago"	"USA"
"N00012"	"LIANG YUEN-LI"	"梁鋆立"	"Liang Yunli"	"LL.B."	"Bachelor"	"Shanghai Comparative Law School"	"China"
"N00014"	"WU CHING-HSIUNG"	"吳經熊"	"Wu Jingxiong"	"LL.B."	"Bachelor"	"Soochow"	"China"
"N00015"	"YANG YUNG-CH'ING"	"楊永淸"	"Yang Yongqing"	"LL.B."	"Bachelor"	"George Washington"	"USA"
"N00016"	"YU WEN TS'AN"	"余文燦"	"Yu Wencan"	"LL.B."	"Bachelor"	"Harvard"	"USA"
"N00003"	"CHANG YU-CH'UAN"	"張煜全"	"Zhang Yuquan"	"LL.M."	"Master"	"Yale"	"USA"
"N00004"	"CH'EN JU HSUAN"	"陳茹玄"	"Chen Ruxuan"	"M.A."	"Master"	"Columbia"	"USA"
"N00005"	"CH'EN TING-JUI"	"陳霆銳"	"Chen Tingrui"	"M.A."	"Master"	"Michigan"	"USA"
"N00011"	"LI CHING-LUN"	"李錦綸"	"Li Jinguan"	"M.A."	"Master"	"New York"	"USA"
"N00015"	"YANG YUNG-CH'ING"	"楊永淸"	"Yang Yongqing"	"M.A."	"Master"	"George Washington"	"USA"
"N00016"	"YU WEN TS'AN"	"余文燦"	"Yu Wencan"	"Ph.B."	"Doctor"	"Chicago"	"USA"
"N00006"	"HO SHIH-CHEN"	"何世植"	"He Shizhi"	"Ph.D"	"Bachelor"	"Michigan"	"USA"
"N00010"	"KUO YUN-KUAN"	"郭雲觀"	"Guo Yunguan"	"Post-graduate"	"NA"	"Columbia"	"USA"
"N00012"	"LIANG YUEN-LI"	"梁鋆立"	"Liang Yunli"	"S.J.D."	"Doctor"	"Harvard"	"USA"
"N00006"	"HO SHIH-CHEN"	"何世植"	"He Shizhi"		"NA"		"Japan"
