"NameID"	"Name"	"Chinese"	"Pinyin"	"Position"	"Organisation"	"Type"	"Type2"	"Sublevel"	"Location"	"Status"	"Start_year"	"Start_month"	"End"	"End_month"	
"N00008"	"HSU WEI-CHEN"	"徐維震"	"Xu Weizhen"	"Legal Adviser"	"Central Bank of China"	"Administration"	"Central"		"Nanjing"	"Past"	1933		1936		
"N00006"	"HO SHIH-CHEN"	"何世植"	"He Shizhi"	"President"	"Ch'ih Tze University"	"University"	"General"		"Shanghai"	"Current"	1930				
"N00005"	"CH'EN TING-JUI"	"陳霆銳"	"Chen Tingrui"	"Legal Practitioner"	"Chen's Private Practice"	"Business"	"Private practice"		"Shanghai"	"Current"	1923				
"N00007"	"HSIANG CHEN-CHUN"	"向哲濬"	"Xiang Zhejun"	"Secretary"	"Chinese Commission for Investigation of Extraterritoriality"	"Administration"	"Commission"			"Past"	1926		1928		
"N00003"	"CHANG YU-CH'UAN"	"張煜全"	"Zhang Yuquan"	"President"	"Chinese Social and Political Science Association"	"Association"	"Professional"		"Beijing"	"Past"					
"N00009"	"HU YI-KU"	"胡諳穀"	"Hu Angu"	"Vice-President"	"Chinkiang District Court"	"Judiciary"	"Local Court"			"Past"	1927		1932		
"N00012"	"LIANG YUEN-LI"	"梁鋆立"	"Liang Yunli"	"Professor"	"Comparative Law School of China"	"University"	"Specialized"		"Shanghai"	"Current"	1933	"October"			
"N00014"	"WU CHING-HSIUNG"	"吳經熊"	"Wu Jingxiong"	"Principal"	"Comparative Law School of China"	"University"	"Specialized"		"Shanghai"	"Current"	1928				
"N00012"	"LIANG YUEN-LI"	"梁鋆立"	"Liang Yunli"	"Counsellor"	"Executive Yuan"	"Government"	"Central"		"Nanjing"	"Past"	1933	"July"	1933	"September"	
"N00013"	"WANG CH'UNG-HUI"	"王寵惠"	"Wang Chonghui"	"President"	"Judicial Yuan"	"Government"	"Central"		"Nanjing"	"Past"	1928	"October"	1931	"December"	
"N00009"	"HU YI-KU"	"胡諳穀"	"Hu Angu"	"Chief Procurator"	"Kiangsu High Court"	"Judiciary"	"Local Court"		"Suzhou"	"Current"	1933	"July"			
"N00008"	"HSU WEI-CHEN"	"徐維震"	"Xu Weizhen"	"President"	"Kiangsu High Court"	"Judiciary"	"Local Court"	"Second Branch"		"Current"	1936	"January"			
"N00008"	"HSU WEI-CHEN"	"徐維震"	"Xu Weizhen"	"Special Administrative Commissioner"	"Kiangsu Provincial Government"	"Government"	"Local Government"		"Nanjing"	"Past"	1933				
"N00013"	"WANG CH'UNG-HUI"	"王寵惠"	"Wang Chonghui"	"Committee Member"	"Kuomintang"	"Party"		"Central Supervisory Committee"	"Nanjing"	"Current"	1929	"March"			
"N00006"	"HO SHIH-CHEN"	"何世植"	"He Shizhi"	"Reserve Member"	"Kuomintang"	"Party"		"Central Executive Committee"	"Nanjing"	"Current"	1931	"December"			
"N00012"	"LIANG YUEN-LI"	"梁鋆立"	"Liang Yunli"	"Technical Adviser"	"League of Nations"	"International"		"Delegation to League of Nations Extraordinary Assembly"		"Past"	1930		1932		
"N00014"	"WU CHING-HSIUNG"	"吳經熊"	"Wu Jingxiong"	"Member"	"Legislative Yuan"	"Government"	"Central"	"Constitution Drafting Committee"	"Nanjing"	"Current"	1933	"February"			
"N00014"	"WU CHING-HSIUNG"	"吳經熊"	"Wu Jingxiong"	"Vice-Chairman"	"Legislative Yuan"	"Government"	"Central"	"Constitution Drafting Committee"	"Nanjing"	"Current"	1933	"February"			
"N00013"	"WANG CH'UNG-HUI"	"王寵惠"	"Wang Chonghui"	"Barrister-at-law"	"Middle Temple Society"	"Association"			"London"	"Past"					
"N00002"	"CHANG F-YUN"	"張福運"	"Zhang Fuyun"	"Director"	"Ministry of Communications"	"Government"	"Central"	"Navigation Department"	"Beijing"	"Past"	1922		1926		
"N00016"	"YU WEN TS'AN"	"余文燦"	"Yu Wencan"	"Director of General Affairs"	"Ministry of Education"	"Government"	"Central"		"Nanjing"	"Past"					
"N00002"	"CHANG F-YUN"	"張福運"	"Zhang Fuyun"	"Director"	"Ministry of Finance"	"Government"	"Central"	"Customs Administration"	"Beijing"	"Past"	1932		1934		
"N00001"	"CHANG CH'IEN"	"張謙"	"Zhang Qian"	"Charge d'Affaires"	"Ministry of Foreign Affairs"	"Government"	"Consulate/Legation"	"Charge d'Affaires at Santiago"	"Santiago"	"Past"	1929		1932		
"N00001"	"CHANG CH'IEN"	"張謙"	"Zhang Qian"	"Consul-General"	"Ministry of Foreign Affairs"	"Government"	"Consulate/Legation"	"Consulate at San Francisco"	"San Francisco"	"Past"	1929		1932		
