DocId;Name;Organization
imh-34-456;徐逸民;A.A. Scottish Rite
imh-34-882;梅華銓;A.A. Scottish Rite
imh-34-456;徐逸民;A.A.O.N.
imh-34-882;梅華銓;A.A.O.N.
imh-34-36;張祥麟;Advisory Council on diplomatic affairs
imh-34-456;徐逸民;Afifi Temple
imh-34-882;梅華銓;Afifi Temple
imh-34-105;趙深;Allied Architects
imh-34-707;李耀邦;American Association for the Advancement of Science
imh-34-882;梅華銓;American Bar Association
imh-34-75;張德輿;American College of Life Underwriters
imh-34-904;牛惠生;American College of Surgeons
imh-34-880;梅其駒;American Government
imh-34-904;牛惠生;American Medical Association
imh-34-904;牛惠生;American Orthopedic Association
imh-34-707;李耀邦;American Physical Society
imh-34-1101;曹雲祥;American Returned Students Association
imh-34-796;劉世芳;American Returned Students Association
imh-34-882;梅華銓;American Returned Students Association
imh-34-461;許貫三;American Society of Civil Engineers
imh-34-1101;曹雲祥;American University Club (Shanghai)
imh-34-336;朱有漁;American University Club (Shanghai)
imh-34-443;許建屏;American University Club (Shanghai)
imh-34-456;徐逸民;American University Club (Shanghai)
imh-34-757;林振彬;American University Club (Shanghai)
imh-34-796;劉世芳;American University Club (Shanghai)
imh-34-882;梅華銓;American University Club (Shanghai)
imh-34-904;牛惠生;American University Club of North China
imh-34-456;徐逸民;Amity Lodge No. 106
imh-34-882;梅華銓;Amity Lodge No. 106
imh-34-904;牛惠生;Amity Lodge No. 106
imh-34-538;黃子方;Amoy Provincial Middle School
imh-34-1208;韋憲章;Andersen Meyer & Company
imh-34-757;林振彬;Anglo-Chinese College (Foochow)
imh-34-762;劉湛恩;Anti-Civil War League of China
imh-34-880;梅其駒;Association of Foreign Press Correspondents
imh-34-757;林振彬;Bakerite Company
imh-34-822;羅運炎;Baldwin-Wallace College
imh-34-443;許建屏;Baltimore Sun
imh-34-1019;宋子文;Bank of China
imh-34-1379;霍寶樹;Bank of China
imh-34-875;馬寅初;Bank of China
imh-34-1446;王正序;Bank of Communications
imh-34-644;李錦沛;Beaux Arts Institute
imh-34-1302;姚永勵;Board of Liquidation of the Chinese-American Bank of Commerce
imh-34-904;牛惠生;Boylston Medical Society
imh-34-149;陳立廷;British Expeditionary Forces
imh-34-1101;曹雲祥;British Foreign Bible Society
