"","lvcluster","PlaceLabel","size","Name","Nationality","birthyear","age","Town","Province","Country","length","DocId","degree1","degreeN","eigen1","betw1","close1","PlaceNumber","NbElements","NbSets","PlaceDetail"
"1",1,"P01(1-38)",11,"Murphy, Henr","American",1877,58,"New Haven","Connecticut","USA",873,"imh-43-188",27,0.84375,0.900603805529847,3.72178238428238,0.0188679245283019,1,1,38,"{Murphy, Henr} - {American Chamber of Commerce;American Club;American Institute of Architects;American University Club;Army Y.M.C.A.;Cercle Sportif Francais;China Institute in America;Chinese National Cultural and Economic Institute;College of New Rochelle;Columbia Country Club;Episcopal Board of Missions;Fukien University;Ginling College;Hopkins Grammar School;Indian Harbor Yacht;Lingnan University;Loomis Institute;Mayesville Institute;McGill and Hamlin;Metropolitan Museum of Art;Murphy & Dana;Murphy McGill & Hamlin;National City Bank;National Government (Nanking);Navy Y.M.C.A;Oberlin-in-China;Pine Orchard Yacht;Realty Investment Company;Revolutionists' Memorial (Nanking);Robert Dollar Company;Shanghai American School;St. Paul's College;Yale Club of New York;Yale Club of Shanghai;Yale Foreign Missionary Society;Yale University;Yale-in-China;Yenching University}"
"2",2,"P02(1-36)",22,"Li, S. T. L","Chinese",1900,35,"Changli","Hopeh","China",881,"imh-43-148",17,0.53125,0.323520496189423,11.5784812409812,0.0196078431372549,2,1,36,"{Li, S. T. L} - {American Concrete Institute;American Railway Engineering Association;American Society for Testing Materials;American Society of Civil Engineers;American University Club;Association of Chinese and American Engineers;Chiao-Tung University;Chinese Institute of Engineers;Cornell Association of Civil Engineers;Cornell University;First National Hydraulic Laboratory;Great Northern Port Development Commission;Hai Ho Improvement Commission;Hopei Association of Engineers;Hopei Fourth Middle School;Hopei Provincial Irrigation and Reclamation Commission;Hu Tou Ho Irrigation Development Commission;Hydraulic Engineering Society of China;Hydraulic Research Council;International Association for Testing Materials;Ministry of the Interior;National Academy of Peiping;National Construction Commission;North River Commission;Peiyang University;Peiyang University Alumni Association;Phi Kappa Phi;Phi Tau Phi;Rho Psi;Science Society of China;Scientific Movement Association of China;Sigma Xi;Takung Pao;Tangshan Engineering College;Tsing Hua College;Waddell and Hardesty}"
"3",2,"P03(1-32)",22,"Lee, Poy Gum","Chinese",1900,35,"New York City","New Jersey","USA",683,"imh-43-142",27,0.84375,0.755247279137795,39.1535150307209,0.02,3,1,32,"{Lee, Poy Gum} - {Agricultural Industrial Bank;American University Club;Cantonese Baptist Church;Cantonese Guild;Capitol Theater;Central University Business College;Changchow Hospital;Chinese Y.M.C.A;Columbia University;De Witt Clinton High School;Edward Shank Architects;Foreign Y.M.C.A;Huchow Hospital;Institute for Chinese Blind;J. F. Jackson;Kwangtung Club;Ludlow & Peabody;Mary Farnham Girls School;Masonic Order;Massachusetts Institute of Technology;Ministry of Industry;Municipality of Greater Shanghai;Murphy McGill & Hamlin;Nantao Christian Institute;National Y.W.C.A;Navy Y.M.C.A;Pratt Institute;Society of Chinese Architects;United States Army;University of the State of New York;Wuhan University;Y.M.C.A.}"
"4",2,"P04(1-30)",22,"Yen, Dr. F.","Chinese",1934,NA,NA,NA,NA,527,"imh-43-300",27,0.84375,0.615569370317646,30.1044289044289,0.0204081632653061,4,1,30,"{Yen, Dr. F.} - {Central China College;Cheng Chi Hui;China Medical Association;Chinese Mission to Lepers;Ching Chong Memorial Hospital;Christian Educational Association of China;Flip Flap;Harvard University;Hunan Yale Medical College;International Health Board;Kiangwan Public Health Board;League of Nations;Ministry of Education;Ministry of the Interior;Municipality of Greater Shanghai;National Central Medical College;National Health Administration;National Medical Association of China;National Medical College of Shanghai;Peking Union Medical College;Pingsiang Colliery;Red Cross Society of China;Rockefeller Foundation;Rotary Club;Shanghai Citizens' Association;Shanghai Municipal Council;Sigma Xi;St. John's University;University of Liverpool;Yale University}"
"5",2,"P05(1-27)",22,"Sze, Fred. C","Chinese",1895,40,"Chen-Tseh","Kiangsu","China",557,"imh-43-238",19,0.59375,0.396688955858353,11.0948593073593,0.0196078431372549,5,1,27,"{Sze, Fred. C} - {American University Club;Boone College;Chas. H. Couch & Son;Chen-Moon Primary School;China & South Seas Bank Ltd;Chinese Economic Society;Chinese Y.M.C.A. High School;Continental Bank;Continental Bank and Trust Co;First National Bank;Harvard Alumni Review;Harvard Club of Shanghai;Harvard University;Higher Polytechnic School (Tientsin);Joint Savings Society;Kiang-Feng Bank of Agriculture and Labor;Kincheng Banking Corporation;Midland Bank Ltd;Municipal Review;Second National Bank (Elmira, NY);Sing-Hung Bank;Tsing Hua Alumni Club;Tsing Hua College;United China Syndicate;University of Wisconsin;Yienyieh Bank;Yung Hung Banking Corporation}"
"6",2,"P06(1-26)",22,"Wei, Lott H.","Chinese",1890,45,"Chungshan","Kwangtung","China",336,"imh-43-268",30,0.9375,0.907951646641469,15.6242254477549,0.0188679245283019,6,1,26,"{Wei, Lott H.} - {American Club;Andersen Meyer & Co. Ltd;Blumenthal Velvet Mill;Butterfield & Swire;Cantonese Club;Cantonese Guild;Central Government Mint;Chester Manufacturing Co;Chinese Jockey Club;Hankow Chinese Race Club;Hankow International Recreation Club;International Recreation Club;Knox Hat Factory;Ministry of Finance;Nanyang Bros. Tobacco Co;National Government (Nanking);Paper Hunt Club;Phi Psi;Philadelphia Textile Academy;Rotary Club;Shanghai Bankers' Club;St. John's University;Stamp Tax Bureau;United States Government;University of Pennsylvania;Van Wan Doo Club}"
"7",2,"P07(1-23)",22,"Zee, T. T.","Chinese",1902,33,"Shanghai","Kiangsu","China",455,"imh-43-314",27,0.84375,0.800971047803921,4.80238095238095,0.0172413793103448,7,1,23,"{Zee, T. T.} - {American Returned Students' Association;American University Club;China Inter-collegiate Athletic Association;China National Amateur Athletic Federation;Chinese Recreation Club;Chinese Referees' Association;Flip Flap;Ginling College;Kincheng Banking Corporation;Masonic Order;National Car Company;National Transport Company;Rotary Club;Shanghai Bankers' Club;Shanghai Bankers' Institute;Shanghai College;Shanghai College Alumni Association;Sin-Hua Trust & Savings Bank;Tai Ping Insurance Company;University of Michigan;University of Michigan Club;University of Shanghai;Y's Men's Club}"
"8",2,"P08(1-20)",22,"Fitch, Georg","American",1883,52,"Soochow","Kiangsu","China",444,"imh-43-76",26,0.8125,0.759271160895774,5.62388167388167,0.0181818181818182,8,1,20,"{Fitch, Georg} - {American Chamber of Commerce;American University Club;China National Child Welfare Association;Chinese Foreign Famine Relief Committee;Chinese Government (Qing);Chinese Mission to Lepers;Foreign Y.M.C.A;Hwai Valley Conservancy Board;Institute for Chinese Blind;Masonic Order;Navy Y.M.C.A;Pan-Pacific Association;Rotary Club;Royal Asiatic Society;Royal Geographical Society;Shanghai Tiffin Club;Union Theological Seminary;University of Wooster;Wooster College;Y.M.C.A.}"
"9",1,"P09(1-20)",11,"Franklin, Co","American",1892,43,"Columbus","Mississippi","USA",312,"imh-43-80",13,0.40625,0.940014535396308,0,0.0140845070422535,9,1,20,"{Franklin, Co} - {American Bar Association;American Club;American Troop Shanghai Volunteer Corps;Cercle Sportif Francais;Chinese Jockey Club;Columbia Country Club;First Judicial Circuit of Hawaii;Franklin & Harrington;Franklin Academy;International Recreation Club;Paper Hunt Club;Phi Delta Theta;Royal Air Force Association;Shanghai American Bar Association;Shanghai Club;Shanghai Municipal Council;Shanghai Polo Club;Shanghai Race Club;United States Army;University of Mississippi}"
"10",2,"P10(1-20)",22,"New, Dr. Way","Chinese",1892,43,"Shanghai","Kiangsu","China",287,"imh-43-190",27,0.84375,0.841778914455901,6.60952380952381,0.0172413793103448,10,1,20,"{New, Dr. Way} - {American College of Surgeons;American Medical Association;American University Club;Boylston Medical Society;Chinese Army;Chinese Medical Association;Flip Flap;Harvard Club of Shanghai;Harvard University;Masonic Order;Massachusetts Medical Society;Medhurst College;National Government (Nanking);National Medical Association of China;Orthopedic Hospital of Shanghai;Peking Union Medical College;Shanghai Medical Society;St. John's Alumni Association;St. John's University;Women's Christian Medical College}"
