"","Organization","degree2","degree2N","eigen2","betw2","close2","N","Type1","Type2"
"1","A.A. Scottish Rite",63,0.139380530973451,0.412168522720354,158.405557244157,0.00113122171945701,2,"Association",NA
"2","A.A.O.N.",63,0.139380530973451,0.412168522720354,158.405557244157,0.00113122171945701,2,"Association",NA
"3","Advisory Council on diplomatic affairs",16,0.0353982300884956,0.058681519472488,2.18077787921986,0.00105042016806723,1,"Administration",NA
"4","Afifi Temple",63,0.139380530973451,0.412168522720354,158.405557244157,0.00113122171945701,2,"Association",NA
"5","Allied Architects",13,0.0287610619469027,0.0335600863512484,4.05793042306088,0.000972762645914397,1,"Business",NA
"6","American Association for the Advancement of Science",12,0.0265486725663717,0.023900476342885,0.34262751767289,0.000931966449207828,1,"Association",NA
"7","American Bar Association",53,0.117256637168142,0.326315309772323,12.2892010320133,0.00115207373271889,1,"Association",NA
"8","American College of Life Underwriters",6,0.0132743362831858,0.0203668550387009,9.73565663503678,0.000885739592559787,1,"Education",NA
"9","American College of Surgeons",42,0.0929203539823009,0.12445035431986,7.07165407094283,0.00104602510460251,1,"Education",NA
"10","American Government",11,0.0243362831858407,0.0153910166379945,0,0.000848176420695505,1,"Goverment","Foreign"
"11","American Medical Association",42,0.0929203539823009,0.12445035431986,7.07165407094283,0.00104602510460251,1,"Association",NA
"12","American Orthopedic Association",42,0.0929203539823009,0.12445035431986,7.07165407094283,0.00104602510460251,1,"Association",NA
"13","American Physical Society",12,0.0265486725663717,0.023900476342885,0.34262751767289,0.000931966449207828,1,"Association",NA
"14","American Returned Students Association",78,0.172566371681416,0.472313339370195,448.091330500976,0.00114810562571757,3,"Association",NA
"15","American Society of Civil Engineers",6,0.0132743362831858,0.0137292274667961,0,0.000858369098712446,1,"Association",NA
"16","American University Club (Shanghai)",131,0.289823008849558,0.747937696236169,2221.18251848853,0.00121654501216545,7,"Association",NA
"17","American University Club of North China",42,0.0929203539823009,0.124450354319861,7.07165407094283,0.00104602510460251,1,"Association",NA
"18","Amity Lodge No. 106",99,0.219026548672566,0.527202370164964,1048.33654818405,0.00122549019607843,3,"Association",NA
"19","Amoy Provincial Middle School",18,0.0398230088495575,0.0349016023353014,0.877599864178717,0.000959692898272553,1,"Education",NA
"20","Andersen Meyer & Company",10,0.0221238938053097,0.021720061757925,9.73565663503678,0.000888888888888889,1,"Business",NA
"21","Anglo-Chinese College (Foochow)",14,0.0309734513274336,0.0611957529987979,2.43490122565246,0.000975609756097561,1,"Education",NA
"22","Anti-Civil War League of China",11,0.0243362831858407,0.0512064260475629,1.99506648285089,0.000987166831194472,1,"Association",NA
"23","Association of Foreign Press Correspondents",11,0.0243362831858407,0.0153910166379945,0,0.000848176420695505,1,"Association",NA
"24","Bakerite Company",14,0.0309734513274336,0.0611957529987978,2.43490122565246,0.000975609756097561,1,"Business",NA
"25","Baldwin-Wallace College",23,0.0508849557522124,0.0538469241589135,0.418173405495452,0.000974658869395711,1,"Education",NA
"26","Baltimore Sun",30,0.0663716814159292,0.105309081180505,2.31688994354758,0.00105596620908131,1,"Media",NA
"27","Bank of China",21,0.0464601769911504,0.137364278689299,39.1015576501879,0.00108695652173913,3,"Business","Bank"
"28","Bank of Communications",5,0.0110619469026549,0.0203431805114915,0.607561865219546,0.000896860986547085,1,"Business","Bank"
"29","Beaux Arts Institute",27,0.0597345132743363,0.0437369829151674,0.948121539724155,0.000946969696969697,1,"Education",NA
"30","Board of Liquidation of the Chinese-American Bank of Commerce",12,0.0265486725663717,0.0484095630740752,2.45315763374992,0.00099009900990099,1,"Administration",NA
"31","Boylston Medical Society",42,0.0929203539823009,0.124450354319861,7.07165407094283,0.00104602510460251,1,"Association",NA
"32","British Expeditionary Forces",9,0.0199115044247788,0.0440481533728168,1.30967925020161,0.00103412616339193,1,"Other",NA
"33","British Foreign Bible Society",20,0.0442477876106195,0.0902775701278531,4.82165666392732,0.00103734439834025,1,"Association",NA
"34","British-American Tobacco Co China Ltd",20,0.0442477876106195,0.0902775701278531,4.82165666392732,0.00103734439834025,1,"Business",NA
"35","Bureau of Economic Information",23,0.0508849557522124,0.0538469241589135,0.418173405495452,0.000974658869395711,1,"Administration",NA
