"","lvcluster","PlaceLabel","size","PlaceNumber","NbElements","NbSets","PlaceDetail","Name","DocId","nb_entities","birthyear","birthplace","Province","Native","length","age","degree1","degree1N","eigen1","betw1","close1"
"1",1,"P01(1-54)",10,1,1,54,"{梅華銓} - {A.A. Scottish Rite;A.A.O.N.;Afifi Temple;American Bar Association;American Returned Students Association;American University Club (Shanghai);Amity Lodge No. 106;Cantonese Union Church;China Administration of Sequestered German and Austrian Vessels;China Bureau of Public Information;China Society of America Inc;China's Young Men;Chinese Recorder;Chinese Students' Monthly;Columbia Alumni Association of China;Columbia University;Commissioner of Foreign Affairs (Shanghai);Community Church (Shanghai);Comparative Law School of China;Far Eastern American Bar Association;International Anti-Opium Association;International Mixed Court;Kuomintang;Lingnan University;McTyeire School;Mei & Liu;Mei Liu & Mok;Ministry of Justice;Mokanshan Summer Resort Association;Mystic Shrine;National Government (Peking);New York City College;New York Courts;New York Public and High Schools;New York Supreme Court;New York Tribune;New York University;Paris Peace Conference;Phi Beta Kappa;Phi Beta Kappa Association of East China;San Francisco Public and Chinese Schools;Shanghai Bar Association;Shanghai Rotary Club;Sinim Lodge;Society for Constructive Endeavor;Soochow University;Southern Peace Delegation;St. John's University;United States Circuit of Appeals;United States Court for China;United States District Court;Wherry and Mygatt;Y.M.C.A.;Yangtszepoo Social Center}","梅華銓","imh-34-882",55,1888,"San Francisco","U.S.A.",NA,937,48,39,0.829787234042553,1,30.1841632531762,0.0135135135135135
"2",2,"P02(1-43)",11,2,1,43,"{牛惠生} - {American College of Surgeons;American Medical Association;American Orthopedic Association;American University Club of North China;Amity Lodge No. 106;Boylston Medical Society;Carney Hospital;Children's Hospital (Boston);China Medical Association;China Medical Missionary Association;Chinese Infectious Diseases Hospital;Chinese Medical Association;Ginling Lodge;Harvard Club of North China;Harvard Medical School of China;Harvard University;Islam Temple of San Francisco;Johns Hopkins Hospital;Lung Hua Clinic;Margaret Williamson Hospital;Massachusetts General Hospital;Massachusetts Medical Society;National Central University;National Child Welfare Association of China;National Medical Association of China;Orthopedic Hospital of Shanghai;Peking Medical Society;Peking Union Medical College;Phi Tau Phi;Rockefeller Foundation;Shanghai Medical Board;Shanghai Medical Society;Shanghai Municipal Council;Sinim Lodge;Soochow Hospital;St. John Middle School;St. John's Alumni Association;St. John's University;St. Luke's Hospital;Tung Ka Doo Clinic;Whangpoo River Conservancy;Women's Christian Union Medical College;Yangtsze River Commission}","牛惠生","imh-34-904",44,1892,"Shanghai","Kiangsu",NA,830,44,27,0.574468085106383,0.547204020745115,17.5255223150066,0.0131578947368421
"3",3,"P03(1-31)",13,3,1,31,"{許建屏} - {American University Club (Shanghai);Baltimore Sun;Cambridge University;Central Bank of China;China Press;Commission on Appellate Cases;Commission on the Codification of Immigration Legislation;Commission on the Consolidation of Domestic and International Loans;Commission on the Qualifications of Chartered Accountants;Commission on the Retrocession of Chingwantao;Commission on the Revision of Commercial Treaties;Detroit Tribune;Executive Yuan;Michigan Daily;Ministry of Agriculture and Commerce;Ministry of Finance;Ministry of Industry;Municipal Public School for Chinese Shanghai;National Tariff Revision Commission;Nationalist Government (Nanking);New York Herald;Pan-Pacific Association of China;Planning Commission on Domestic and International Exhibitions;San Francisco Chronicle;Shanghai Municipal Council;Shanghai Rotary Club;Shanghai Tribune;Shanghai Tribune Publishing Company;Tsing Hua College;University of Michigan;Yu Shang Pao}","許建屏","imh-34-443",31,1889,"Shanghai","Kiangsu",NA,692,47,33,0.702127659574468,0.770541347211678,19.5345636807333,0.0131578947368421
"4",3,"P04(1-29)",13,4,1,29,"{孔祥熙} - {Central Bank of China;Cheeloo University;Commission on the Consolidation of Domestic and International Loans;Executive Yuan;Inter-Provincial Drouth Relief Association;Kuomintang;Ministry of Finance;Ministry of Industry;Ministry of Industry Labor and Commerce;Ministry of Mining and Agriculture;National Capital Planning Commission;National Child Welfare Association of China;National Commission on Aeronautical Affairs;National Defence Commission;National Economic Council;National Famine Relief Commission;National Reconstruction Commission;National River Conservancy Commission;Nationalist Government (Nanking);Oberlin College;Oberlin-Shansi Memorial College;Overseas Affairs Commission;Pan-Pacific Association of China;Shanghai Medical Centre;Shantung Rehabilitation Commission;State Council;Yale University;Yellow River Flood Relief Commission;Yenching University}","孔祥熙","imh-34-601",30,1881,"Taiku","Shansi",NA,1013,55,31,0.659574468085106,0.794312022364571,28.0065467866215,0.0131578947368421
"5",1,"P05(1-28)",10,5,1,28,"{李錦沛} - {Beaux Arts Institute;Canton National Committee Building;Cantonese Baptist Church;Cantonese Guild;Capital Theatre;Changchow General Hospital;Columbia University;Dewitt Clinton High School;J. F. Jackson Architect;Kiangwan Central University;Lingnan School;Ludlow & Peabody Archts;Mary Farnham Girls School;Massachusetts Institute of Technology;Murphy Mcgill & Hamlin Archts;Nanking National Committee Building;Nantao Christian Institute;New Capital Theatre;New York State University;Ningpo National Committee Building;Pratt Institute;Shanghai Foreign Shanghai Navy;Shanghai National Committee Building;Shanghai Quarantine Station;Society of Chinese Architects;Wuhan University;Y.M.C.A.;Yenching University}","李錦沛","imh-34-644",29,1900,"New York City","U.S.A.",NA,447,36,21,0.446808510638298,0.334000846636199,9.19630248032941,0.0128205128205128
"6",3,"P06(1-28)",13,6,1,28,"{王正廷} - {China National University;Customs Tariff Conference;Extraordinary Parliament (Canton);Hua Feng Cotton Mill Co;Hunan Provincial High School;Kuomintang;Liu Ho Kou Coal Mining Co;Liu Ho Kou Mining Co Ltd;Lung-Hai Railway;Ministry of Foreign Affairs;Ministry of Industry and Commerce;National Government (Peking);National Loans Sinking Fund Commission;National Provisional Government;Nationalist Government (Nanking);Northern Government;Parliament (Peking);Peiyang University;Phi Beta Kappa;Revolutionary Government (Canton);Senate;Shantung Rehabilitation Commission;Special Tariff Revision Commission;St. John's University;Tientsin Anglo-Chinese College;University of Michigan;Y.M.C.A.;Yale University}","王正廷","imh-34-1137",29,1882,"Ningpo","Chekiang",NA,1045,54,40,0.851063829787234,0.921323188068479,33.011129955316,0.0136986301369863
"7",3,"P07(1-24)",13,7,1,24,"{羅運炎} - {Baldwin-Wallace College;Bureau of Economic Information;China Christian Literature Council;Chinese Christian Advocate;Chinese Recorder;Comparative Law School of China;International Missionary Council;Kiukiang First Government School;Legislative Yuan;Methodist East Asia Central Conference;Methodist General Conference;National Anti-Opium Association;National Child Welfare Association of China;National Christian Council of China;National Commission for Opium Suppression;National Opium Convention;National Rehabilitation Conference;Nationalist Government (Nanking);Syracuse University;Teh Hua School;University of Michigan;Wen Hua School;William Nast College;Young People's Friend}","羅運炎","imh-34-822",24,1890,"Kiukiang","Kiangsi",NA,524,46,20,0.425531914893617,0.414080766229699,7.62969232350037,0.0121951219512195
"8",4,"P08(1-21)",13,8,1,21,"{曹雲祥} - {American Returned Students Association;American University Club (Shanghai);British Foreign Bible Society;British-American Tobacco Co China Ltd;Central Bank of China;China Institute of Scientific Management;China Society (London);Chinese Students' Club (Yale);Chinese Students' Monthly;Fu Yang Middle School;Harvard University;Ih-Cu Middle School;Ministry of Foreign Affairs;Nanfangpao;Royal Society of Literature;St. John's University;Tsing Hua College;Western Returned Student's Union;Yale Cosmopolitan Club;Yale Debating Association;Yale University}","曹雲祥","imh-34-1101",21,1881,"Nanziang","Kiangsu",NA,429,55,34,0.723404255319149,0.783834048266538,13.6265345765346,0.0128205128205128
"9",4,"P09(1-20)",13,9,1,20,"{吳經熊} - {Carnegie Endowment for International Peace;Committee for drafting a permanent Constitution for China;Comparative Law School of China;Harvard University;Hsiao Shih College;Kuomintang;Law Codification Committee;Legislative Yuan;Ministry of Justice;Municipality of Greater Shanghai;Northwestern University;Peiyang University;Shanghai Baptist College;Shanghai Municipal Council;Shanghai Provisional Court;Sorbonne University;Sun Yat-sen Institute for the Advancement of Culture and Education;Tien Hsia Monthly;University of Berlin;University of Michigan}","吳經熊","imh-34-1231",21,1899,"Ningpo","Chekiang",NA,800,37,27,0.574468085106383,0.568051868990271,9.56027573217976,0.0125
"10",3,"P10(1-20)",13,10,1,20,"{孫科} - {Canton Municipal Government;Canton Times;Columbia University;Examination Yuan;Executive Yuan;Fudan University;Kuomintang;Kwangtung Provincial Government;Kwangtung River Conservancy Board;Legislative Yuan;Military Aviation;Ministry of Railways;National Aviation Corporation;National Economic Council;Nationalist Government (Nanking);Reconstruction Review;Revolutionary Government (Canton);Senate;University of California;War Economic Council}","孫科","imh-34-995",21,1891,"Chungshan","Kwangtung",NA,695,45,26,0.553191489361702,0.708629745943837,6.59479131979132,0.0121951219512195
