"","V1","V2"
"1","Antioch","Pennsylvania"
"2","Arizona","Harvard"
"3","Baldwin Wallace","Syracuse"
"4","Beloit","Harvard"
"5","Brown","Cornell"
"6","Bucknell","Columbia"
"7","Bucknell","Crozen Theological Seminary"
"8","Butler","Columbia"
"9","California","Columbia"
"10","California","Cornell"
"11","California","Fudan"
"12","California","George Washington"
"13","California","Georgetown"
"14","California","Harvard"
"15","California","Johns Hopkins"
"16","California","Michigan"
"17","California","Pennsylvania"
"18","California","Pomona"
"19","California","Purdue"
"20","California","Southern California"
"21","California","St. John's University"
"22","California","Stanford"
"23","Carnegie Institute of Technology","Cornell"
"24","Case School of Applied Studies","Rensselaer Polytechnic Institute"
"25","Chattanooga","Columbia"
"26","Chicago","Columbia"
"27","Chicago","Denison"
"28","Chicago","Emporia College"
"29","Chicago","Grinnell"
"30","Chicago","Harvard"
"31","Chicago","Iowa State"
"32","Chicago","Jenner Medical College"
"33","Chicago","Johns Hopkins"
"34","Chicago","Michigan"
"35","Chicago","New York University"
"36","Chicago","Northwestern"
"37","Chicago","Oberlin"
"38","Chicago","Oregon State"
"39","Chicago","Park University"
"40","Chicago","Pratt Institute"
"41","Chicago","Rush Medical College"
"42","Chicago","William Jewell"
"43","Chicago","Wisconsin"
"44","Chicago","Y.M.C.A. College"
"45","Chicago","Yale"
"46","Coe College","Iowa State"
"47","Colorado","Columbia"
"48","Colorado","Denver"
"49","Colorado","New York University"
"50","Colorado","Stanford"
"51","Columbia","Cornell"
"52","Columbia","Crozen Theological Seminary"
"53","Columbia","Denison"
"54","Columbia","Fudan"
"55","Columbia","Garrett Biblical Institute"
"56","Columbia","General Theological Seminary"
"57","Columbia","Harvard"
"58","Columbia","Haverford"
"59","Columbia","Hawaii"
"60","Columbia","Illinois"
"61","Columbia","Johns Hopkins"
"62","Columbia","Massachusetts Institute of Technology"
"63","Columbia","Michigan"
"64","Columbia","Minnesota"
"65","Columbia","National (Manila)"
"66","Columbia","New York University"
"67","Columbia","Northwestern"
"68","Columbia","Oberlin"
"69","Columbia","Ohio State"
"70","Columbia","Ohio Wesleyan"
"71","Columbia","Pennsylvania"
"72","Columbia","Philippine"
"73","Columbia","Pomona"
"74","Columbia","Princeton"
"75","Columbia","Rochester"
"76","Columbia","Stanford"
"77","Columbia","Trinity"
"78","Columbia","University of Edinburgh"
"79","Columbia","Wake Forest"
"80","Columbia","William & Mary"
"81","Columbia","Wisconsin"
"82","Columbia","Wooster"
"83","Columbia","Yale"
"84","Cooper","Pennsylvania"
"85","Cornell","Georgetown"
"86","Cornell","Harvard"
"87","Cornell","Indiana"
"88","Cornell","Johns Hopkins"
"89","Cornell","Michigan"
"90","Cornell","New York University"
"91","Cornell","Wisconsin"
"92","Denison","Harvard"
"93","Denison","Oklahoma"
"94","Denison","Texas"
"95","Denver","Stanford"
"96","DePauw","Harvard"
"97","Drake","George Washington"
"98","Emporia College","Park University"
"99","Emporia College","Pittsburg Theological Seminary"
"100","Garrett Biblical Institute","Northwestern"
"101","Garrett Biblical Institute","Ohio Wesleyan"
"102","General Theological Seminary","Trinity"
"103","General Theological Seminary","University of Edinburgh"
"104","George Washington","North Dakota"
"105","George Washington","Occidental"
"106","George Washington","Princeton"
"107","George Washington","Southern College"
"108","Georgetown","Pennsylvania"
"109","Georgetown","Southern California"
"110","Georgetown","Washington"
"111","Grinnell","New York University"
"112","Grinnell","Pennsylvania"
"113","Hanover College","Princeton"
"114","Harvard","Illinois"
"115","Harvard","Massachusetts Institute of Technology"
"116","Harvard","Princeton"
"117","Harvard","Santa Clara"
"118","Harvard","St. John's University"
"119","Harvard","Tufts"
"120","Harvard","Washington"
"121","Harvard","Washington & Lee"
"122","Harvard","Wisconsin"
"123","Harvard","Yale"
"124","Haverford","New York University"
"125","Haverford","Pennsylvania"
"126","Hawaii","New York University"
"127","Hawaii","Pennsylvania"
"128","Hawaii","St. John's University"
"129","Hope College","Michigan"
"130","Howard","Louisville"
"131","Howard","Southern Boys Seminary"
"132","Illinois","Iowa"
"133","Illinois","Louisiana"
"134","Illinois","Michigan"
"135","Illinois","Pennsylvania"
"136","Illinois","Temple"
"137","Illinois","Wisconsin"
"138","Iowa","New York State"
"139","Iowa State","Michigan State"
"140","Iowa State","Ohio Northern"
"141","Johns Hopkins","Rush Medical College"
"142","Leyden","Michigan"
"143","Louisville","Southern Boys Seminary"
"144","Maryville","Ohio State"
"145","Massachusetts Agricultural College","Yale"
"146","Massachusetts College of Pharmacy","Massachusetts Institute of Technology"
"147","Massachusetts Institute of Technology","Purdue"
"148","Massachusetts Institute of Technology","Rensselaer Polytechnic Institute"
"149","McCormick Seminary","Northwestern"
"150","McCormick Seminary","Wabash"
"151","McCormick Seminary","Wooster"
"152","Michigan","Minnesota"
"153","Michigan","Northwestern"
"154","Michigan","Tokyo Imperial"
"155","Michigan State","Ohio Northern"
"156","Minnesota","Pennsylvania"
"157","Minnesota","Tulane"
"158","Missouri State","Washington, St. Louis"
"159","National (Manila)","Philippine"
"160","Nebraska","Nevada"
"161","Nebraska","Purdue"
"162","Nevada","Purdue"
"163","New Bedford","New York University"
"164","New York University","North Central College"
"165","New York University","Northwestern"
"166","New York University","Pennsylvania"
"167","New York University","Princeton"
"168","Northwestern","Ohio Wesleyan"
"169","Northwestern","Wabash"
"170","Northwestern","Washington"
"171","Northwestern","Wooster"
"172","Oberlin","Pennsylvania"
"173","Oberlin","Yale"
"174","Occidental","Princeton"
"175","Ohio State","Pennsylvania"
"176","Ohio State","Purdue"
"177","Oklahoma","Texas"
"178","Pennsylvania","Southern California"
"179","Pennsylvania","St. John's University"
"180","Pennsylvania","Swarthmore"
"181","Pennsylvania","Temple"
"182","Pennsylvania","Washington"
"183","Pennsylvania","Wesleyan"
"184","Pennsylvania","Yale"
"185","Pratt Institute","Y.M.C.A. College"
"186","Princeton","Washington & Jefferson"
"187","Princeton","Wisconsin"
"188","Princeton","Wooster"
"189","Princeton","Yale"
"190","Purdue","Wisconsin"
"191","Reed","Yale"
"192","St. John's University","Yale"
"193","Trinity","University of Edinburgh"
"194","Vanderbilt","Y.M.C.A. Graduate School"
"195","Vanderbilt","Yale"
"196","Wabash","Wooster"
"197","Washington & Jefferson","Wooster"
