"","cluster_no","size","PlaceLabel","PlaceNumber","NbElements","NbSets","PlaceDetail"
"1",1,35,"P001(1-4)",1,1,4,"{Lacy_Carleton} - {Columbia;Garrett Biblical Institute;Northwestern;Ohio Wesleyan}"
"2",2,22,"P002(1-4)",2,1,4,"{Luccock_Emory W.} - {McCormick Seminary;Northwestern;Wabash;Wooster}"
"3",3,21,"P003(1-4)",3,1,4,"{Ly_J .Usang} - {Columbia;Haverford;New York University;Pennsylvania}"
"4",1,35,"P004(1-4)",4,1,4,"{Pott_Francis L. Hawks} - {Columbia;General Theological Seminary;Trinity;University of Edinburgh}"
"5",4,20,"P005(1-3)",5,1,3,"{Chu_Fred M.C.} - {Chicago;Pratt Institute;Y.M.C.A. College}"
"6",3,21,"P006(1-3)",6,1,3,"{Chung_Elbert} - {Georgetown;Pennsylvania;Southern California}"
"7",1,35,"P007(1-3)",7,1,3,"{Fong_F. Sec} - {California;Columbia;Pomona}"
"8",2,22,"P008(1-3)",8,1,3,"{Hayes_Ernest M.} - {Princeton;Washington & Jefferson;Wooster}"
"9",2,22,"P009(1-3)",9,1,3,"{Helmick_Milton J.} - {Colorado;Denver;Stanford}"
"10",3,21,"P010(1-3)",10,1,3,"{Ho_Paul Hsu} - {Illinois;Pennsylvania;Temple}"
"11",5,26,"P011(1-3)",11,1,3,"{Hu_Stephen} - {California;Cornell;Johns Hopkins}"
"12",1,35,"P012(1-3)",12,1,3,"{Huang_James Chiomin} - {Columbia;National (Manila);Philippine}"
"13",4,20,"P013(1-3)",13,1,3,"{Huang_Tsefang} - {Chicago;Johns Hopkins;Rush Medical College}"
"14",1,35,"P014(1-3)",14,1,3,"{Hylbert_L.C.} - {Bucknell;Columbia;Crozen Theological Seminary}"
"15",3,21,"P015(1-3)",15,1,3,"{Kam_Edwin} - {Hawaii;Pennsylvania;St. John's University}"
"16",1,35,"P016(1-3)",16,1,3,"{Liu_Cheng Ling} - {Columbia;Cornell;New York University}"
"17",1,35,"P017(1-3)",17,1,3,"{Liu_H.C.E.} - {Chicago;Columbia;Denison}"
"18",1,35,"P018(1-3)",18,1,3,"{Lum_Kalfred Dip} - {Columbia;Hawaii;New York University}"
"19",1,35,"P019(1-3)",19,1,3,"{Sun_Fo} - {California;Columbia;Fudan}"
"20",6,21,"P020(1-3)",20,1,3,"{Villers_Ernest} - {Denison;Oklahoma;Texas}"
"21",4,20,"P021(1-3)",21,1,3,"{Walline_Edwin E.} - {Chicago;Emporia College;Park University}"
"22",7,28,"P023(1-3)",23,1,3,"{Young_Arthur N.} - {George Washington;Occidental;Princeton}"
"23",7,28,"P024(1-3)",24,1,3,"{Yu_Leo W.} - {Nebraska;Nevada;Purdue}"
"24",4,20,"P025(1-3)",25,1,3,"{Zung_Y.F.} - {Iowa State;Michigan State;Ohio Northern}"
"25",1,35,"P026(4-2)",26,4,2,"{Chu_Percy;Lee_Alfred S.;Liang_Louis K.L.;Sun_J.H.} - {Columbia;New York University}"
"26",4,20,"P027(3-2)",27,3,2,"{Au_Silwing P.C.;Yee_S.K.;Zee_Andrew} - {Chicago;Michigan}"
"27",3,21,"P028(3-2)",28,3,2,"{Chang_Ting-Chin;Hsueh_Wei Fan;Wong_Tse-Kong} - {Ohio State;Pennsylvania}"
"28",6,21,"P029(3-2)",29,3,2,"{Ho_Teh-Kuei;Sze_F.C.;Tsai_Thomas Wen-hsi} - {Harvard;Wisconsin}"
"29",1,35,"P030(3-2)",30,3,2,"{Huang_H.L.;Wang_K.P.;Welles_Henry H.} - {Columbia;Princeton}"
"30",3,21,"P031(2-2)",31,2,2,"{Chen_Kwan-Pu;Wong_I.K.} - {Pennsylvania;St. John's University}"
"31",7,28,"P032(2-2)",32,2,2,"{Jen_Lemuel C.C.;West_Eric Ralph} - {California;George Washington}"
"32",6,21,"P033(2-2)",33,2,2,"{Lee_Shee-Mou;Parker_Frederick A.} - {Harvard;Massachusetts Institute of Technology}"
"33",1,35,"P034(2-2)",34,2,2,"{Lin_Peter Wei;Ma_Y.C.} - {Columbia;Yale}"
"34",1,35,"P035(2-2)",35,2,2,"{Lum_Joe W.;Wu_Jack Foy} - {Columbia;Stanford}"
"35",1,35,"P036(2-2)",36,2,2,"{Ngao_Sz-Chow;Speery_Henry M.} - {Columbia;Michigan}"
"36",1,35,"P037(2-2)",37,2,2,"{Sze_Ying Tse-yu;Zhen_M.S.} - {Columbia;Massachusetts Institute of Technology}"
"37",6,21,"P038(2-2)",38,2,2,"{Tsao_Y.S.;Yen_Fu-ching} - {Harvard;Yale}"
"38",4,20,"P039(1-2)",39,1,2,"{Anderson_Paul M.} - {Emporia College;Pittsburg Theological Seminary}"
"39",7,28,"P040(1-2)",40,1,2,"{Arnold_Julean} - {California;St. John's University}"
"40",4,20,"P042(1-2)",42,1,2,"{Beath_Sterling} - {Chicago;Wisconsin}"
"41",3,21,"P043(1-2)",43,1,2,"{Ch'en_Yangyi} - {Oberlin;Pennsylvania}"
"42",3,21,"P044(1-2)",44,1,2,"{Chai_Ke Kung} - {Antioch;Pennsylvania}"
"43",2,22,"P045(1-2)",45,1,2,"{Chan_Guy Hugh} - {Northwestern;Washington}"
"44",7,28,"P046(1-2)",46,1,2,"{Chan_Stanley H.} - {California;Stanford}"
"45",3,21,"P047(1-2)",47,1,2,"{Chen_Chun} - {Pennsylvania;Yale}"
"46",1,35,"P048(1-2)",48,1,2,"{Chen_Ho-Chin} - {Columbia;Johns Hopkins}"
"47",2,22,"P049(1-2)",49,1,2,"{Chen_Reignson C.} - {Colorado;New York University}"
"48",5,26,"P050(1-2)",50,1,2,"{Cheu_Baihan} - {Cornell;Wisconsin}"
"49",6,21,"P051(1-2)",51,1,2,"{Chiao_Wen Shou} - {Denison;Harvard}"
"50",3,21,"P052(1-2)",52,1,2,"{Ching_Chi Kwan} - {Hawaii;Pennsylvania}"
"51",5,26,"P053(1-2)",53,1,2,"{Chinn_Howard C.} - {California;Michigan}"
"52",7,28,"P054(1-2)",54,1,2,"{Christophersen_Carl E.} - {Drake;George Washington}"
"53",5,26,"P055(1-2)",55,1,2,"{Chung_Pau Sien} - {Illinois;Iowa}"
"54",1,35,"P056(1-2)",56,1,2,"{Doon_Dayu} - {Columbia;Minnesota}"
"55",7,28,"P057(1-2)",57,1,2,"{Downs_W.H.} - {California;Georgetown}"
"56",6,21,"P058(1-2)",58,1,2,"{Dunlap_A.M.} - {Harvard;Illinois}"
"57",7,28,"P059(1-2)",59,1,2,"{Dunn_Frank B.} - {Ohio State;Purdue}"
"58",2,22,"P060(1-2)",60,1,2,"{Engdahl_Russell} - {Georgetown;Washington}"
"59",1,35,"P061(1-2)",61,1,2,"{Fitch_George A.} - {Columbia;Wooster}"
"60",6,21,"P062(1-2)",62,1,2,"{Foo_Y.C.} - {Harvard;Washington}"
"61",6,21,"P063(1-2)",63,1,2,"{Freeman_Jo Fisher} - {Arizona;Harvard}"
"62",4,20,"P064(1-2)",64,1,2,"{Fu_Daniel C.} - {Chicago;William Jewell}"
"63",5,26,"P065(1-2)",65,1,2,"{Gale_Esson M.} - {Leyden;Michigan}"
"64",3,21,"P066(1-2)",66,1,2,"{Gibb_John McGregor} - {Pennsylvania;Wesleyan}"
"65",7,28,"P067(1-2)",67,1,2,"{Gill_F.W.} - {Maryville;Ohio State}"
"66",6,21,"P068(1-2)",68,1,2,"{Harrington_William B.} - {Harvard;Washington & Lee}"
"67",5,26,"P069(1-2)",69,1,2,"{Hertz_Harold} - {Cornell;Georgetown}"
"68",1,35,"P070(1-2)",70,1,2,"{Hipps_J.B.} - {Columbia;Wake Forest}"
"69",2,22,"P071(1-2)",71,1,2,"{Ho_Ping-sung} - {Princeton;Wisconsin}"
"70",1,35,"P072(1-2)",72,1,2,"{Hsia_Jui-Ching} - {Chicago;Columbia}"
"71",7,28,"P073(1-2)",73,1,2,"{Hsu_Peter Kingman} - {California;Southern California}"
"72",2,22,"P074(1-2)",74,1,2,"{Huang_Chester} - {Grinnell;New York University}"
"73",7,28,"P075(1-2)",75,1,2,"{Huang_Shu-Pei} - {Case School of Applied Studies;Rensselaer Polytechnic Institute}"
"74",5,26,"P076(1-2)",76,1,2,"{Huizinga_Henry} - {Hope College;Michigan}"
"75",5,26,"P077(1-2)",77,1,2,"{Inui_Kiyosue} - {Michigan;Tokyo Imperial}"
"76",6,21,"P078(1-2)",78,1,2,"{Jee_Luther M.} - {California;Harvard}"
"77",4,20,"P079(1-2)",79,1,2,"{Kelhofer_E.} - {Chicago;Northwestern}"
"78",7,28,"P080(1-2)",80,1,2,"{Ko_I. Chih} - {Massachusetts Institute of Technology;Purdue}"
"79",7,28,"P081(1-2)",81,1,2,"{Kops_Paul F. de Bruyn} - {George Washington;North Dakota}"
