"","cluster_no","size","University","Degree","Eig","Betw","Close"
"1",1,13,"Antioch",0.00970873786407767,0.04598955639541,0,0.00293255131964809
"2",2,10,"Arizona",0.00970873786407767,0.0330116227980558,0,0.00316455696202532
"3",2,10,"Beloit",0.00970873786407767,0.0330116227980558,0,0.00316455696202532
"4",3,10,"Brown",0.00970873786407767,0.0275631765011486,0,0.00289017341040462
"5",4,21,"Bucknell",0.0194174757281553,0.0993601747622122,0,0.00335570469798658
"6",4,21,"Butler",0.00970873786407767,0.0903800019713317,0,0.00334448160535117
"7",3,10,"California",0.135922330097087,0.428275959854016,469.415786990787,0.00404858299595142
"8",3,10,"Carnegie Institute of Technology",0.00970873786407767,0.0275631765011486,0,0.00289017341040462
"9",5,10,"Case School of Applied Studies",0.00970873786407767,0.00109951282981247,0,0.00214592274678112
"10",4,21,"Chattanooga",0.00970873786407767,0.0903800019713317,0,0.00334448160535117
"11",6,14,"Chicago",0.194174757281553,0.472142832310205,1324.80466200466,0.00420168067226891
"12",6,14,"Coe College",0.00970873786407767,0.00396019536758719,0,0.00229357798165138
"13",4,21,"Colorado",0.0388349514563107,0.165051015820949,65.3619047619047,0.00363636363636364
"14",4,21,"Columbia",0.378640776699029,1,2176.71546509046,0.0050761421319797
"15",1,13,"Cooper",0.00970873786407767,0.04598955639541,0,0.00293255131964809
"16",3,10,"Cornell",0.106796116504854,0.304969859481654,381.867496392496,0.00409836065573771
"17",4,21,"Crozen Theological Seminary",0.0194174757281553,0.0993601747622123,0,0.00335570469798658
"18",2,10,"Denison",0.0485436893203883,0.169101007415744,224.861111111111,0.00393700787401575
"19",4,21,"Denver",0.0194174757281553,0.0281625206579953,0,0.00274725274725275
"20",2,10,"DePauw",0.00970873786407767,0.0330116227980558,0,0.00316455696202532
"21",7,15,"Drake",0.00970873786407767,0.00598498999996429,0,0.00244498777506112
"22",6,14,"Emporia College",0.029126213592233,0.0473017631100935,102,0.0029673590504451
"23",3,10,"Fudan",0.0194174757281553,0.129087584067211,1.93813131313131,0.0034965034965035
"24",7,15,"Garrett Biblical Institute",0.029126213592233,0.126198802905866,0,0.00359712230215827
"25",4,21,"General Theological Seminary",0.029126213592233,0.110321764569959,0,0.00336700336700337
"26",7,15,"George Washington",0.058252427184466,0.0662202906552571,318.896464646465,0.00325732899022801
"27",3,10,"Georgetown",0.0485436893203883,0.131408646822714,15.9547619047619,0.00336700336700337
"28",6,14,"Grinnell",0.029126213592233,0.147542302164659,38.5444444444444,0.0036101083032491
"29",7,15,"Hanover College",0.00970873786407767,0.0232478721927835,0,0.00289855072463768
"30",2,10,"Harvard",0.174757281553398,0.365253618920334,977.80545010545,0.00467289719626168
"31",4,21,"Haverford",0.029126213592233,0.195250034021044,18.5285714285714,0.00371747211895911
"32",1,13,"Hawaii",0.0388349514563107,0.260448130982209,20.4305860805861,0.0036231884057971
"33",8,11,"Hope College",0.00970873786407767,0.0239686731802397,0,0.00297619047619048
"34",8,11,"Illinois",0.0776699029126214,0.225196817834346,364.418253968254,0.00396825396825397
"35",3,10,"Indiana",0.00970873786407767,0.0275631765011486,0,0.00289017341040462
"36",8,11,"Iowa",0.0194174757281553,0.0205209148512089,102,0.00284090909090909
"37",6,14,"Iowa State",0.0388349514563107,0.0438171639877078,302,0.0029940119760479
"38",6,14,"Jenner Medical College",0.00970873786407767,0.0426722701149464,0,0.00294117647058824
"39",3,10,"Johns Hopkins",0.0485436893203883,0.204853102274823,99.4801948051948,0.004
"40",8,11,"Leyden",0.00970873786407767,0.0239686731802397,0,0.00297619047619048
"41",8,11,"Louisiana",0.00970873786407767,0.0203532888398058,0,0.00282485875706215
"42",5,10,"Maryville",0.00970873786407767,0.013148483209989,0,0.00261780104712042
"43",1,13,"Massachusetts Agricultural College",0.00970873786407767,0.0252932510091686,0,0.0029940119760479
"44",5,10,"Massachusetts College of Pharmacy",0.00970873786407767,0.0120660697750138,0,0.00273224043715847
"45",5,10,"Massachusetts Institute of Technology",0.0485436893203883,0.133503756492958,336.082034632035,0.00378787878787879
"46",7,15,"McCormick Seminary",0.029126213592233,0.0416317167794282,0,0.00293255131964809
"47",8,11,"Michigan",0.0970873786407767,0.265198856577171,452.104711954712,0.00427350427350427
"48",6,14,"Michigan State",0.0194174757281553,0.00435368107140317,0,0.00229885057471264
"49",8,11,"Minnesota",0.0388349514563107,0.161658748267458,107,0.00371747211895911
"50",4,21,"National (Manila)",0.0194174757281553,0.0993601747622122,0,0.00335570469798658
"51",5,10,"Nebraska",0.0194174757281553,0.00870922748056905,0,0.00252525252525253
"52",5,10,"Nevada",0.0194174757281553,0.00870922748056905,0,0.00252525252525253
"53",4,21,"New Bedford",0.00970873786407767,0.0588804756543025,0,0.00271739130434783
"54",8,11,"New York State",0.00970873786407767,0.00185468032470579,0,0.00220264317180617
"55",4,21,"New York University",0.116504854368932,0.651476813122657,341.148687423687,0.0037593984962406
"56",4,21,"North Central College",0.00970873786407767,0.0588804756543025,0,0.00271739130434783
"57",7,15,"North Dakota",0.00970873786407767,0.00598498999996429,0,0.00244498777506112
"58",7,15,"Northwestern",0.0970873786407767,0.270114542450069,256.359773559773,0.00401606425702811
"59",1,13,"Oberlin",0.0388349514563107,0.204335079490857,52.9722222222222,0.00396825396825397
"60",7,15,"Occidental",0.0194174757281553,0.0292328621927478,0,0.0029673590504451
"61",6,14,"Ohio Northern",0.0194174757281553,0.00435368107140317,0,0.00229885057471264
"62",5,10,"Ohio State",0.0388349514563107,0.145480005788887,139.39632034632,0.00357142857142857
"63",7,15,"Ohio Wesleyan",0.029126213592233,0.126198802905866,0,0.00359712230215827
"64",2,10,"Oklahoma",0.0194174757281553,0.0168019056492945,0,0.0028169014084507
"65",6,14,"Oregon State",0.00970873786407767,0.0426722701149464,0,0.00294117647058824
"66",6,14,"Park University",0.0194174757281553,0.0469474035580841,0,0.0029585798816568
"67",1,13,"Pennsylvania",0.194174757281553,0.508846596507022,669.317784992785,0.00418410041841004
"68",4,21,"Philippine",0.0194174757281553,0.0993601747622122,0,0.00335570469798658
"69",6,14,"Pittsburg Theological Seminary",0.00970873786407767,0.00427513344313771,0,0.00227790432801822
"70",4,21,"Pomona",0.0194174757281553,0.219467586038543,0,0.003003003003003
"71",6,14,"Pratt Institute",0.0194174757281553,0.0469121943310678,0,0.00294985250737463
"72",7,15,"Princeton",0.0970873786407767,0.257223630069821,503.907908757909,0.00411522633744856
"73",5,10,"Purdue",0.058252427184466,0.0876531014706031,225.035714285714,0.00338983050847458
"74",1,13,"Reed",0.00970873786407767,0.0252932510091686,0,0.0029940119760479
"75",5,10,"Rensselaer Polytechnic Institute",0.0194174757281553,0.0121654437467397,102,0.00274725274725275
"76",4,21,"Rochester",0.00970873786407767,0.0903800019713317,0,0.00334448160535117
"77",3,10,"Rush Medical College",0.0194174757281553,0.0611868939023784,0,0.0032258064516129
"78",2,10,"Santa Clara",0.00970873786407767,0.0330116227980558,0,0.00316455696202532
"79",3,10,"Southern California",0.029126213592233,0.0965738522501768,0,0.00323624595469256
"80",7,15,"Southern College",0.00970873786407767,0.00598498999996429,0,0.00244498777506112
"81",1,13,"St. John's University",0.0485436893203883,0.212530871285526,14.5636363636364,0.00355871886120996
"82",4,21,"Stanford",0.0388349514563107,0.146550223875066,56.5381313131313,0.00357142857142857
"83",1,13,"Swarthmore",0.00970873786407767,0.04598955639541,0,0.00293255131964809
"84",8,11,"Temple",0.0194174757281553,0.0663428452352157,0,0.00307692307692308
"85",2,10,"Texas",0.0194174757281553,0.0168019056492945,0,0.0028169014084507
"86",8,11,"Tokyo Imperial",0.00970873786407767,0.0239686731802397,0,0.00297619047619048
"87",4,21,"Trinity",0.029126213592233,0.110321764569959,0,0.00336700336700337
"88",2,10,"Tufts",0.00970873786407767,0.0330116227980557,0,0.00316455696202532
"89",8,11,"Tulane",0.00970873786407767,0.0146107179870959,0,0.00269541778975741
"90",4,21,"University of Edinburgh",0.029126213592233,0.110321764569959,0,0.00336700336700337
"91",1,13,"Vanderbilt",0.0194174757281553,0.0255015616569197,102,0.00301204819277108
"92",7,15,"Wabash",0.029126213592233,0.0416317167794282,0,0.00293255131964809
"93",4,21,"Wake Forest",0.00970873786407767,0.0903800019713317,0,0.00334448160535117
"94",7,15,"Washington",0.0388349514563107,0.115290845831475,30.117735042735,0.003584229390681
"95",7,15,"Washington & Jefferson",0.0194174757281553,0.0367039614484944,0,0.00293255131964809
"96",2,10,"Washington & Lee",0.00970873786407767,0.0330116227980558,0,0.00316455696202532
"97",1,13,"Wesleyan",0.00970873786407767,0.04598955639541,0,0.00293255131964809
"98",4,21,"William & Mary",0.00970873786407767,0.0903800019713317,0,0.00334448160535117
"99",6,14,"William Jewell",0.00970873786407767,0.0426722701149464,0,0.00294117647058824
"100",5,10,"Wisconsin",0.0679611650485437,0.245150319901778,215.241847041847,0.00427350427350427
"101",7,15,"Wooster",0.058252427184466,0.148883480440498,98.1406593406594,0.00373134328358209
"102",6,14,"Y.M.C.A. College",0.0194174757281553,0.0469121943310678,0,0.00294985250737463
"103",1,13,"Y.M.C.A. Graduate School",0.00970873786407767,0.00230483119282444,0,0.00230414746543779
"104",1,13,"Yale",0.0970873786407767,0.279854508270442,516.819352869353,0.00431034482758621
