"","PlaceLabel","Degree","DegreeN","Eig","Betw","Close","PlaceNumber","NbElements","NbSets","PlaceDetail"
"1","P001(1-4)",39,0.214285714285714,0.821548706454952,422.151619652334,0.0028169014084507,1,1,4,"{Lacy_Carleton} - {Columbia;Garrett Biblical Institute;Northwestern;Ohio Wesleyan}"
"2","P002(1-4)",9,0.0494505494505494,0.0673544889484054,38.1088288904078,0.00211416490486258,2,1,4,"{Luccock_Emory W.} - {McCormick Seminary;Northwestern;Wabash;Wooster}"
"3","P003(1-4)",59,0.324175824175824,1,1178.45992466165,0.00293255131964809,3,1,4,"{Ly_J .Usang} - {Columbia;Haverford;New York University;Pennsylvania}"
"4","P004(1-4)",33,0.181318681318681,0.804217326083823,181.916448657178,0.00275482093663912,4,1,4,"{Pott_Francis L. Hawks} - {Columbia;General Theological Seminary;Trinity;University of Edinburgh}"
"5","P005(1-3)",18,0.0989010989010989,0.121900778560881,181.060833333333,0.0022883295194508,5,1,3,"{Chu_Fred M.C.} - {Chicago;Pratt Institute;Y.M.C.A. College}"
"6","P006(1-3)",24,0.131868131868132,0.0988843058186008,259.108433333504,0.00234741784037559,6,1,3,"{Chung_Elbert} - {Georgetown;Pennsylvania;Southern California}"
"7","P007(1-3)",44,0.241758241758242,0.891928766309555,490.242577849444,0.00291545189504373,7,1,3,"{Fong_F. Sec} - {California;Columbia;Pomona}"
"8","P008(1-3)",11,0.0604395604395604,0.0703295815732084,59.905435062014,0.00217391304347826,8,1,3,"{Hayes_Ernest M.} - {Princeton;Washington & Jefferson;Wooster}"
"9","P009(1-3)",6,0.032967032967033,0.0591832147455889,12.7983515942262,0.00198019801980198,9,1,3,"{Helmick_Milton J.} - {Colorado;Denver;Stanford}"
"10","P010(1-3)",25,0.137362637362637,0.126248934917333,264.514750565911,0.00245700245700246,10,1,3,"{Ho_Paul Hsu} - {Illinois;Pennsylvania;Temple}"
"11","P011(1-3)",23,0.126373626373626,0.160395578179021,278.911855999241,0.00253164556962025,11,1,3,"{Hu_Stephen} - {California;Cornell;Johns Hopkins}"
"12","P012(1-3)",32,0.175824175824176,0.803523196434499,0.916448657178062,0.00274725274725275,12,1,3,"{Huang_James Chiomin} - {Columbia;National (Manila);Philippine}"
"13","P013(1-3)",19,0.104395604395604,0.149961499007608,63.5535346226365,0.00241545893719807,13,1,3,"{Huang_Tsefang} - {Chicago;Johns Hopkins;Rush Medical College}"
"14","P014(1-3)",32,0.175824175824176,0.8035231964345,0.916448657178062,0.00274725274725275,14,1,3,"{Hylbert_L.C.} - {Bucknell;Columbia;Crozen Theological Seminary}"
"15","P015(1-3)",22,0.120879120879121,0.132328451318837,54.9750585774734,0.00235294117647059,15,1,3,"{Kam_Edwin} - {Hawaii;Pennsylvania;St. John's University}"
"16","P016(1-3)",50,0.274725274725275,0.958888915472866,820.764119075546,0.00289855072463768,16,1,3,"{Liu_Cheng Ling} - {Columbia;Cornell;New York University}"
"17","P017(1-3)",50,0.274725274725275,0.903161744786798,801.123672183155,0.00293255131964809,17,1,3,"{Liu_H.C.E.} - {Chicago;Columbia;Denison}"
"18","P018(1-3)",43,0.236263736263736,0.945909564360933,212.62966238503,0.00275482093663912,18,1,3,"{Lum_Kalfred Dip} - {Columbia;Hawaii;New York University}"
"19","P019(1-3)",43,0.236263736263736,0.86710751742773,392.95686356373,0.00291545189504373,19,1,3,"{Sun_Fo} - {California;Columbia;Fudan}"
"20","P020(1-3)",3,0.0164835164835165,0.0301627723911319,181,0.002,20,1,3,"{Villers_Ernest} - {Denison;Oklahoma;Texas}"
"21","P021(1-3)",18,0.0989010989010989,0.121900778560881,181.060833333333,0.0022883295194508,21,1,3,"{Walline_Edwin E.} - {Chicago;Emporia College;Park University}"
"22","P023(1-3)",14,0.0769230769230769,0.0473481178989967,528.847438670944,0.0022271714922049,23,1,3,"{Young_Arthur N.} - {George Washington;Occidental;Princeton}"
"23","P024(1-3)",6,0.032967032967033,0.00645195564388955,181,0.00181488203266788,24,1,3,"{Yu_Leo W.} - {Nebraska;Nevada;Purdue}"
"24","P025(1-3)",3,0.0164835164835165,0.00387205643130683,0,0.00162866449511401,25,1,3,"{Zung_Y.F.} - {Iowa State;Michigan State;Ohio Northern}"
"25","P026(4-2)",41,0.225274725274725,0.938744491656749,147.50394065492,0.00273972602739726,26,4,2,"{Chu_Percy;Lee_Alfred S.;Liang_Louis K.L.;Sun_J.H.} - {Columbia;New York University}"
"26","P027(3-2)",27,0.148351648351648,0.165052249591788,303.552815822397,0.00251256281407035,27,3,2,"{Au_Silwing P.C.;Yee_S.K.;Zee_Andrew} - {Chicago;Michigan}"
"27","P028(3-2)",22,0.120879120879121,0.117280184114106,163.166457393545,0.00231481481481481,28,3,2,"{Chang_Ting-Chin;Hsueh_Wei Fan;Wong_Tse-Kong} - {Ohio State;Pennsylvania}"
"28","P029(3-2)",25,0.137362637362637,0.118770450029753,121.162770562771,0.00246913580246914,29,3,2,"{Ho_Teh-Kuei;Sze_F.C.;Tsai_Thomas Wen-hsi} - {Harvard;Wisconsin}"
"29","P030(3-2)",40,0.21978021978022,0.823834661309117,442.932808140301,0.00285714285714286,30,3,2,"{Huang_H.L.;Wang_K.P.;Welles_Henry H.} - {Columbia;Princeton}"
"30","P031(2-2)",21,0.115384615384615,0.102272591767358,50.6158495993171,0.00235294117647059,31,2,2,"{Chen_Kwan-Pu;Wong_I.K.} - {Pennsylvania;St. John's University}"
"31","P032(2-2)",17,0.0934065934065934,0.0905812571071491,598.936591915361,0.00235849056603774,32,2,2,"{Jen_Lemuel C.C.;West_Eric Ralph} - {California;George Washington}"
"32","P033(2-2)",23,0.126373626373626,0.107752824005661,314.612820512821,0.00246913580246914,33,2,2,"{Lee_Shee-Mou;Parker_Frederick A.} - {Harvard;Massachusetts Institute of Technology}"
"33","P034(2-2)",42,0.230769230769231,0.828233263794496,589.44745348826,0.00284900284900285,34,2,2,"{Lin_Peter Wei;Ma_Y.C.} - {Columbia;Yale}"
"34","P035(2-2)",35,0.192307692307692,0.809405335144184,205.441520774603,0.00277008310249307,35,2,2,"{Lum_Joe W.;Wu_Jack Foy} - {Columbia;Stanford}"
"35","P036(2-2)",42,0.230769230769231,0.827598902904783,402.024568377043,0.00282485875706215,36,2,2,"{Ngao_Sz-Chow;Speery_Henry M.} - {Columbia;Michigan}"
"36","P037(2-2)",37,0.203296703296703,0.810302588689323,698.634107516345,0.00282485875706215,37,2,2,"{Sze_Ying Tse-yu;Zhen_M.S.} - {Columbia;Massachusetts Institute of Technology}"
